,Sample_no,시설ID,일,주차,내부CO2,내부습도,내부온도,강우감지,일사량,외부풍속,지습,급액횟수,급액EC(dS/m),급액pH,급액량(회당)
25,4,farm25,20220331,31주차,487.5,82.2779167,17.8195833,0.0,1887,0.0,0.0,14,2.7,5.03,96
26,4,farm25,20220401,31주차,471.375,80.15375,17.8341667,0.0,2341,0.125,0.0,14,2.69,5.24,93
27,4,farm25,20220402,31주차,486.875,80.19375,18.4575,0.0,2238,0.0,0.0,14,2.67,5.01,91
28,4,farm25,20220403,31주차,500.0416667,82.24875,19.555,0.0,2320,0.0833333,0.0,15,2.67,4.58,99
29,4,farm25,20220404,31주차,515.3333333,87.6808333,19.5270833,0.0,1556,0.0833333,0.0,13,2.75,5.67,91
30,4,farm25,20220405,31주차,514.2083333,87.0833333,21.3466667,0.0,2170,0.6666667,0.0,15,2.67,5.31,91
31,5,farm25,20220330,31주차,484.9583333,80.5270833,18.0704167,0.0,2218,0.0833333,0.0,15,2.66,4.71,91
32,5,farm25,20220331,31주차,487.5,82.2779167,17.8195833,0.0,1887,0.0,0.0,14,2.7,5.03,96
33,5,farm25,20220401,31주차,471.375,80.15375,17.8341667,0.0,2341,0.125,0.0,14,2.69,5.24,93
34,5,farm25,20220402,31주차,486.875,80.19375,18.4575,0.0,2238,0.0,0.0,14,2.67,5.01,91
35,5,farm25,20220403,31주차,500.0416667,82.24875,19.555,0.0,2320,0.0833333,0.0,15,2.67,4.58,99
36,5,farm25,20220404,31주차,515.3333333,87.6808333,19.5270833,0.0,1556,0.0833333,0.0,13,2.75,5.67,91
37,5,farm25,20220405,31주차,514.2083333,87.0833333,21.3466667,0.0,2170,0.6666667,0.0,15,2.67,5.31,91
38,6,farm25,20220330,31주차,484.9583333,80.5270833,18.0704167,0.0,2218,0.0833333,0.0,15,2.66,4.71,91
39,6,farm25,20220331,31주차,487.5,82.2779167,17.8195833,0.0,1887,0.0,0.0,14,2.7,5.03,96
40,6,farm25,20220401,31주차,471.375,80.15375,17.8341667,0.0,2341,0.125,0.0,14,2.69,5.24,93
41,6,farm25,20220402,31주차,486.875,80.19375,18.4575,0.0,2238,0.0,0.0,14,2.67,5.01,91
42,6,farm25,20220403,31주차,500.0416667,82.24875,19.555,0.0,2320,0.0833333,0.0,15,2.67,4.58,99
43,6,farm25,20220404,31주차,515.3333333,87.6808333,19.5270833,0.0,1556,0.0833333,0.0,13,2.75,5.67,91
44,6,farm25,20220405,31주차,514.2083333,87.0833333,21.3466667,0.0,2170,0.6666667,0.0,15,2.67,5.31,91
45,7,farm25,20220330,31주차,484.9583333,80.5270833,18.0704167,0.0,2218,0.0833333,0.0,15,2.66,4.71,91
46,7,farm25,20220331,31주차,487.5,82.2779167,17.8195833,0.0,1887,0.0,0.0,14,2.7,5.03,96
47,7,farm25,20220401,31주차,471.375,80.15375,17.8341667,0.0,2341,0.125,0.0,14,2.69,5.24,93
48,7,farm25,20220402,31주차,486.875,80.19375,18.4575,0.0,2238,0.0,0.0,14,2.67,5.01,91
49,7,farm25,20220403,31주차,500.0416667,82.24875,19.555,0.0,2320,0.0833333,0.0,15,2.67,4.58,99
50,7,farm25,20220404,31주차,515.3333333,87.6808333,19.5270833,0.0,1556,0.0833333,0.0,13,2.75,5.67,91
51,7,farm25,20220405,31주차,514.2083333,87.0833333,21.3466667,0.0,2170,0.6666667,0.0,15,2.67,5.31,91
52,8,farm25,20220406,32주차,504.875,93.5004167,18.3754167,0.0,365,0.2916667,0.0,8,2.65,5.75,93
53,8,farm25,20220412,32주차,478.0833333,80.9029167,18.98625,0.0,2134,0.125,0.0,14,2.65,5.32,90
54,10,farm25,20220406,32주차,504.875,93.5004167,18.3754167,0.0,365,0.2916667,0.0,8,2.65,5.75,93
55,10,farm25,20220412,32주차,478.0833333,80.9029167,18.98625,0.0,2134,0.125,0.0,14,2.65,5.32,90
56,11,farm25,20220406,32주차,504.875,93.5004167,18.3754167,0.0,365,0.2916667,0.0,8,2.65,5.75,93
57,11,farm25,20220412,32주차,478.0833333,80.9029167,18.98625,0.0,2134,0.125,0.0,14,2.65,5.32,90
58,13,farm33,20170305,30주차,424.5258333,83.8095833,20.23875,0.0,1538,0.89375,30.414950352866246,14,2.83,5.6,87
59,13,farm33,20170306,30주차,391.4383333,83.6133333,20.5966667,0.0,1481,1.1945833,30.414950352866246,13,2.82,5.71,97
60,13,farm33,20170307,30주차,394.7583333,85.0275,20.4608333,0.0,1478,1.0754167,30.414950352866246,15,2.83,5.59,92
61,13,farm33,20170308,30주차,424.7966667,82.4375,20.2095833,0.0,1698,0.9966667,30.414950352866246,13,2.68,5.26,93
62,13,farm33,20170309,30주차,409.0691667,84.8108333,19.2066667,0.0,1236,1.0579167,30.414950352866246,11,2.82,5.72,93
63,13,farm33,20170310,30주차,405.8041667,83.6258333,19.6683333,0.0,1654,1.0808333,30.414950352866246,13,2.65,4.66,86
64,13,farm33,20170311,30주차,447.67125,87.9516667,19.9,0.0,1099,1.0554167,30.414950352866246,9,2.69,5.63,90
65,14,farm33,20170305,30주차,424.5258333,83.8095833,20.23875,0.0,1538,0.89375,30.414950352866246,14,2.83,5.6,87
66,14,farm33,20170306,30주차,391.4383333,83.6133333,20.5966667,0.0,1481,1.1945833,30.414950352866246,13,2.82,5.71,97
67,14,farm33,20170307,30주차,394.7583333,85.0275,20.4608333,0.0,1478,1.0754167,30.414950352866246,15,2.83,5.59,92
68,14,farm33,20170308,30주차,424.7966667,82.4375,20.2095833,0.0,1698,0.9966667,30.414950352866246,13,2.68,5.26,93
69,14,farm33,20170309,30주차,409.0691667,84.8108333,19.2066667,0.0,1236,1.0579167,30.414950352866246,11,2.82,5.72,93
70,14,farm33,20170310,30주차,405.8041667,83.6258333,19.6683333,0.0,1654,1.0808333,30.414950352866246,13,2.65,4.66,86
71,14,farm33,20170311,30주차,447.67125,87.9516667,19.9,0.0,1099,1.0554167,30.414950352866246,9,2.69,5.63,90
72,15,farm33,20170305,30주차,424.5258333,83.8095833,20.23875,0.0,1538,0.89375,30.414950352866246,14,2.83,5.6,87
73,15,farm33,20170306,30주차,391.4383333,83.6133333,20.5966667,0.0,1481,1.1945833,30.414950352866246,13,2.82,5.71,97
74,15,farm33,20170307,30주차,394.7583333,85.0275,20.4608333,0.0,1478,1.0754167,30.414950352866246,15,2.83,5.59,92
75,15,farm33,20170308,30주차,424.7966667,82.4375,20.2095833,0.0,1698,0.9966667,30.414950352866246,13,2.68,5.26,93
76,15,farm33,20170309,30주차,409.0691667,84.8108333,19.2066667,0.0,1236,1.0579167,30.414950352866246,11,2.82,5.72,93
77,15,farm33,20170310,30주차,405.8041667,83.6258333,19.6683333,0.0,1654,1.0808333,30.414950352866246,13,2.65,4.66,86
78,15,farm33,20170311,30주차,447.67125,87.9516667,19.9,0.0,1099,1.0554167,30.414950352866246,9,2.69,5.63,90
79,16,farm33,20170312,31주차,428.01125,82.37625,20.3033333,0.0,1626,1.0141667,30.414950352866246,14,2.73,5.7,89
80,16,farm33,20170313,31주차,483.585,93.0041667,17.9241667,1.0,467,0.96,30.414950352866246,10,2.67,5.69,99
81,16,farm33,20170314,31주차,428.3545833,85.6145833,20.595,1.0,1489,1.1954167,30.414950352866246,14,2.78,5.75,89
82,16,farm33,20170315,31주차,430.9491667,87.575,20.3354167,0.0,1303,0.9725,30.414950352866246,11,2.75,5.69,90
83,16,farm33,20170316,31주차,423.6766667,86.4758333,20.0741667,0.0,1284,1.0979167,30.414950352866246,11,2.76,5.6,90
84,16,farm33,20170317,31주차,447.3079167,89.6341667,20.24,0.0,928,1.19125,30.414950352866246,9,2.66,5.64,94
85,16,farm33,20170318,31주차,479.3066667,92.50875,17.48625,1.0,448,0.92,30.414950352866246,9,2.68,5.68,98
86,17,farm33,20170312,31주차,428.01125,82.37625,20.3033333,0.0,1626,1.0141667,30.414950352866246,14,2.73,5.7,89
87,17,farm33,20170313,31주차,483.585,93.0041667,17.9241667,1.0,467,0.96,30.414950352866246,10,2.67,5.69,99
88,17,farm33,20170314,31주차,428.3545833,85.6145833,20.595,1.0,1489,1.1954167,30.414950352866246,14,2.78,5.75,89
89,17,farm33,20170315,31주차,430.9491667,87.575,20.3354167,0.0,1303,0.9725,30.414950352866246,11,2.75,5.69,90
90,17,farm33,20170316,31주차,423.6766667,86.4758333,20.0741667,0.0,1284,1.0979167,30.414950352866246,11,2.76,5.6,90
91,17,farm33,20170317,31주차,447.3079167,89.6341667,20.24,0.0,928,1.19125,30.414950352866246,9,2.66,5.64,94
92,17,farm33,20170318,31주차,479.3066667,92.50875,17.48625,1.0,448,0.92,30.414950352866246,9,2.68,5.68,98
93,18,farm33,20170312,31주차,428.01125,82.37625,20.3033333,0.0,1626,1.0141667,30.414950352866246,14,2.73,5.7,89
94,18,farm33,20170313,31주차,483.585,93.0041667,17.9241667,1.0,467,0.96,30.414950352866246,10,2.67,5.69,99
95,18,farm33,20170314,31주차,428.3545833,85.6145833,20.595,1.0,1489,1.1954167,30.414950352866246,14,2.78,5.75,89
96,18,farm33,20170315,31주차,430.9491667,87.575,20.3354167,0.0,1303,0.9725,30.414950352866246,11,2.75,5.69,90
97,18,farm33,20170316,31주차,423.6766667,86.4758333,20.0741667,0.0,1284,1.0979167,30.414950352866246,11,2.76,5.6,90
98,18,farm33,20170317,31주차,447.3079167,89.6341667,20.24,0.0,928,1.19125,30.414950352866246,9,2.66,5.64,94
99,18,farm33,20170318,31주차,479.3066667,92.50875,17.48625,1.0,448,0.92,30.414950352866246,9,2.68,5.68,98
100,20,farm33,20170319,32주차,504.35375,89.7945833,18.6679167,1.0,967,1.00625,30.414950352866246,10,2.68,5.64,95
101,20,farm33,20170320,32주차,466.19625,87.5975,19.4358333,1.0,1139,1.1066667,30.414950352866246,8,2.7,5.72,100
102,20,farm33,20170321,32주차,424.01,81.9745833,19.6170833,1.0,1553,1.0779167,30.414950352866246,13,2.74,5.61,98
103,20,farm33,20170322,32주차,473.9170833,91.37375,17.05,1.0,226,0.78,30.414950352866246,10,2.7,5.63,97
104,20,farm33,20170323,32주차,422.0395833,77.32125,20.6908333,0.0,1721,1.1675,30.414950352866246,13,2.7,5.09,100
105,20,farm33,20170324,32주차,422.1441667,88.1158333,18.86375,1.0,596,1.13125,30.414950352866246,10,2.66,5.66,97
106,20,farm33,20170325,32주차,423.4054167,85.0375,19.5791667,1.0,904,1.0545833,30.414950352866246,10,2.67,5.64,86
107,21,farm33,20170319,32주차,504.35375,89.7945833,18.6679167,1.0,967,1.00625,30.414950352866246,10,2.68,5.64,95
108,21,farm33,20170320,32주차,466.19625,87.5975,19.4358333,1.0,1139,1.1066667,30.414950352866246,8,2.7,5.72,100
109,21,farm33,20170321,32주차,424.01,81.9745833,19.6170833,1.0,1553,1.0779167,30.414950352866246,13,2.74,5.61,98
110,21,farm33,20170322,32주차,473.9170833,91.37375,17.05,1.0,226,0.78,30.414950352866246,10,2.7,5.63,97
111,21,farm33,20170323,32주차,422.0395833,77.32125,20.6908333,0.0,1721,1.1675,30.414950352866246,13,2.7,5.09,100
112,21,farm33,20170324,32주차,422.1441667,88.1158333,18.86375,1.0,596,1.13125,30.414950352866246,10,2.66,5.66,97
113,21,farm33,20170325,32주차,423.4054167,85.0375,19.5791667,1.0,904,1.0545833,30.414950352866246,10,2.67,5.64,86
114,22,farm33,20170319,32주차,504.35375,89.7945833,18.6679167,1.0,967,1.00625,30.414950352866246,10,2.68,5.64,95
115,22,farm33,20170320,32주차,466.19625,87.5975,19.4358333,1.0,1139,1.1066667,30.414950352866246,8,2.7,5.72,100
116,22,farm33,20170321,32주차,424.01,81.9745833,19.6170833,1.0,1553,1.0779167,30.414950352866246,13,2.74,5.61,98
117,22,farm33,20170322,32주차,473.9170833,91.37375,17.05,1.0,226,0.78,30.414950352866246,10,2.7,5.63,97
118,22,farm33,20170323,32주차,422.0395833,77.32125,20.6908333,0.0,1721,1.1675,30.414950352866246,13,2.7,5.09,100
119,22,farm33,20170324,32주차,422.1441667,88.1158333,18.86375,1.0,596,1.13125,30.414950352866246,10,2.66,5.66,97
120,22,farm33,20170325,32주차,423.4054167,85.0375,19.5791667,1.0,904,1.0545833,30.414950352866246,10,2.67,5.64,86
121,24,farm33,20170423,37주차,3.2233333,5.9991667,1.8358333,0.0,0,1.1845,30.414950352866246,21,2.23,6.19,72
122,24,farm33,20170424,37주차,3.15,6.3229167,1.5704167,0.0,0,1.0225,30.414950352866246,16,2.18,6.07,74
123,24,farm33,20170425,37주차,3.1854167,5.6533333,1.5445833,0.0,0,1.0054545,30.414950352866246,18,2.2,6.05,72
124,24,farm33,20170426,37주차,3.1725,5.6125,1.6775,0.0,0,1.0186364,30.414950352866246,18,2.28,5.99,78
125,24,farm33,20170427,37주차,3.23375,6.4291667,1.5883333,1.0,0,1.0095652,30.414950352866246,18,2.25,6.04,70
126,24,farm33,20170428,37주차,3.0,8.3541667,1.5275,1.0,0,1.004,30.414950352866246,19,2.28,6.06,71
127,24,farm33,20170429,37주차,2.655,4.91875,1.5425,0.0,0,1.04375,30.414950352866246,18,2.22,6.05,76
128,25,farm33,20170423,37주차,3.2233333,5.9991667,1.8358333,0.0,0,1.1845,30.414950352866246,21,2.23,6.19,72
129,25,farm33,20170424,37주차,3.15,6.3229167,1.5704167,0.0,0,1.0225,30.414950352866246,16,2.18,6.07,74
130,25,farm33,20170425,37주차,3.1854167,5.6533333,1.5445833,0.0,0,1.0054545,30.414950352866246,18,2.2,6.05,72
131,25,farm33,20170426,37주차,3.1725,5.6125,1.6775,0.0,0,1.0186364,30.414950352866246,18,2.28,5.99,78
132,25,farm33,20170427,37주차,3.23375,6.4291667,1.5883333,1.0,0,1.0095652,30.414950352866246,18,2.25,6.04,70
133,25,farm33,20170428,37주차,3.0,8.3541667,1.5275,1.0,0,1.004,30.414950352866246,19,2.28,6.06,71
134,25,farm33,20170429,37주차,2.655,4.91875,1.5425,0.0,0,1.04375,30.414950352866246,18,2.22,6.05,76
135,26,farm33,20170423,37주차,3.2233333,5.9991667,1.8358333,0.0,0,1.1845,30.414950352866246,21,2.23,6.19,72
136,26,farm33,20170424,37주차,3.15,6.3229167,1.5704167,0.0,0,1.0225,30.414950352866246,16,2.18,6.07,74
137,26,farm33,20170425,37주차,3.1854167,5.6533333,1.5445833,0.0,0,1.0054545,30.414950352866246,18,2.2,6.05,72
138,26,farm33,20170426,37주차,3.1725,5.6125,1.6775,0.0,0,1.0186364,30.414950352866246,18,2.28,5.99,78
139,26,farm33,20170427,37주차,3.23375,6.4291667,1.5883333,1.0,0,1.0095652,30.414950352866246,18,2.25,6.04,70
140,26,farm33,20170428,37주차,3.0,8.3541667,1.5275,1.0,0,1.004,30.414950352866246,19,2.28,6.06,71
141,26,farm33,20170429,37주차,2.655,4.91875,1.5425,0.0,0,1.04375,30.414950352866246,18,2.22,6.05,76
142,32,farm33,20170507,39주차,2.7020833,4.7695833,1.6354167,0.0,0,1.2847826,30.414950352866246,16,2.24,6.05,75
143,32,farm33,20170508,39주차,2.72375,5.3654167,1.5133333,0.0,0,1.2261905,30.414950352866246,18,2.27,5.98,72
144,32,farm33,20170509,39주차,2.8079167,6.1141667,1.4670833,0.0,0,1.02625,30.414950352866246,20,2.26,6.0,70
145,32,farm33,20170512,39주차,2.99,5.6091667,1.9783333,0.0,0,1.0208333,30.414950352866246,21,2.23,6.19,78
146,32,farm33,20170513,39주차,2.9525,5.9008333,1.7808333,0.0,0,1.0243478,30.414950352866246,19,2.29,6.08,78
147,33,farm33,20170507,39주차,2.7020833,4.7695833,1.6354167,0.0,0,1.2847826,30.414950352866246,16,2.24,6.05,75
148,33,farm33,20170508,39주차,2.72375,5.3654167,1.5133333,0.0,0,1.2261905,30.414950352866246,18,2.27,5.98,72
149,33,farm33,20170509,39주차,2.8079167,6.1141667,1.4670833,0.0,0,1.02625,30.414950352866246,20,2.26,6.0,70
150,33,farm33,20170512,39주차,2.99,5.6091667,1.9783333,0.0,0,1.0208333,30.414950352866246,21,2.23,6.19,78
151,33,farm33,20170513,39주차,2.9525,5.9008333,1.7808333,0.0,0,1.0243478,30.414950352866246,19,2.29,6.08,78
152,34,farm33,20170507,39주차,2.7020833,4.7695833,1.6354167,0.0,0,1.2847826,30.414950352866246,16,2.24,6.05,75
153,34,farm33,20170508,39주차,2.72375,5.3654167,1.5133333,0.0,0,1.2261905,30.414950352866246,18,2.27,5.98,72
154,34,farm33,20170509,39주차,2.8079167,6.1141667,1.4670833,0.0,0,1.02625,30.414950352866246,20,2.26,6.0,70
155,34,farm33,20170512,39주차,2.99,5.6091667,1.9783333,0.0,0,1.0208333,30.414950352866246,21,2.23,6.19,78
156,34,farm33,20170513,39주차,2.9525,5.9008333,1.7808333,0.0,0,1.0243478,30.414950352866246,19,2.29,6.08,78
157,35,farm33,20170507,39주차,2.7020833,4.7695833,1.6354167,0.0,0,1.2847826,30.414950352866246,16,2.24,6.05,75
158,35,farm33,20170508,39주차,2.72375,5.3654167,1.5133333,0.0,0,1.2261905,30.414950352866246,18,2.27,5.98,72
159,35,farm33,20170509,39주차,2.8079167,6.1141667,1.4670833,0.0,0,1.02625,30.414950352866246,20,2.26,6.0,70
160,35,farm33,20170512,39주차,2.99,5.6091667,1.9783333,0.0,0,1.0208333,30.414950352866246,21,2.23,6.19,78
161,35,farm33,20170513,39주차,2.9525,5.9008333,1.7808333,0.0,0,1.0243478,30.414950352866246,19,2.29,6.08,78
162,36,farm14,20170305,30주차,394.6154167,70.8591667,21.6125,0.0,1430,1.3609524,30.414950352866246,11,2.73,5.49,99
163,36,farm14,20170306,30주차,397.66125,72.8691667,21.3275,0.0,1323,1.575,30.414950352866246,12,2.72,5.57,100
164,36,farm14,20170307,30주차,387.3641667,71.1879167,21.7195833,0.0,1425,2.3627778,30.414950352866246,11,2.71,5.58,94
165,36,farm14,20170308,30주차,402.93125,70.06125,21.71375,0.0,1524,1.5215,30.414950352866246,11,2.69,5.71,79
166,36,farm14,20170309,30주차,408.6725,72.9904167,20.8466667,0.0,1221,1.6988235,30.414950352866246,9,2.72,4.4,92
167,36,farm14,20170310,30주차,404.8058333,69.4541667,21.0216667,0.0,1501,1.489,30.414950352866246,12,2.71,5.62,81
168,36,farm14,20170311,30주차,415.2745833,73.42,20.1191667,0.0,1008,1.5433333,30.414950352866246,21,2.17,5.97,72
169,37,farm14,20170305,30주차,394.6154167,70.8591667,21.6125,0.0,1430,1.3609524,30.414950352866246,11,2.73,5.49,99
170,37,farm14,20170306,30주차,397.66125,72.8691667,21.3275,0.0,1323,1.575,30.414950352866246,12,2.72,5.57,100
171,37,farm14,20170307,30주차,387.3641667,71.1879167,21.7195833,0.0,1425,2.3627778,30.414950352866246,11,2.71,5.58,94
172,37,farm14,20170308,30주차,402.93125,70.06125,21.71375,0.0,1524,1.5215,30.414950352866246,11,2.69,5.71,79
173,37,farm14,20170309,30주차,408.6725,72.9904167,20.8466667,0.0,1221,1.6988235,30.414950352866246,9,2.72,4.4,92
174,37,farm14,20170310,30주차,404.8058333,69.4541667,21.0216667,0.0,1501,1.489,30.414950352866246,12,2.71,5.62,81
175,37,farm14,20170311,30주차,415.2745833,73.42,20.1191667,0.0,1008,1.5433333,30.414950352866246,21,2.17,5.97,72
176,38,farm14,20170305,30주차,394.6154167,70.8591667,21.6125,0.0,1430,1.3609524,30.414950352866246,11,2.73,5.49,99
177,38,farm14,20170306,30주차,397.66125,72.8691667,21.3275,0.0,1323,1.575,30.414950352866246,12,2.72,5.57,100
178,38,farm14,20170307,30주차,387.3641667,71.1879167,21.7195833,0.0,1425,2.3627778,30.414950352866246,11,2.71,5.58,94
179,38,farm14,20170308,30주차,402.93125,70.06125,21.71375,0.0,1524,1.5215,30.414950352866246,11,2.69,5.71,79
180,38,farm14,20170309,30주차,408.6725,72.9904167,20.8466667,0.0,1221,1.6988235,30.414950352866246,9,2.72,4.4,92
181,38,farm14,20170310,30주차,404.8058333,69.4541667,21.0216667,0.0,1501,1.489,30.414950352866246,12,2.71,5.62,81
182,38,farm14,20170311,30주차,415.2745833,73.42,20.1191667,0.0,1008,1.5433333,30.414950352866246,21,2.17,5.97,72
183,39,farm14,20170305,30주차,394.6154167,70.8591667,21.6125,0.0,1430,1.3609524,30.414950352866246,11,2.73,5.49,99
184,39,farm14,20170306,30주차,397.66125,72.8691667,21.3275,0.0,1323,1.575,30.414950352866246,12,2.72,5.57,100
185,39,farm14,20170307,30주차,387.3641667,71.1879167,21.7195833,0.0,1425,2.3627778,30.414950352866246,11,2.71,5.58,94
186,39,farm14,20170308,30주차,402.93125,70.06125,21.71375,0.0,1524,1.5215,30.414950352866246,11,2.69,5.71,79
187,39,farm14,20170309,30주차,408.6725,72.9904167,20.8466667,0.0,1221,1.6988235,30.414950352866246,9,2.72,4.4,92
188,39,farm14,20170310,30주차,404.8058333,69.4541667,21.0216667,0.0,1501,1.489,30.414950352866246,12,2.71,5.62,81
189,39,farm14,20170311,30주차,415.2745833,73.42,20.1191667,0.0,1008,1.5433333,30.414950352866246,21,2.17,5.97,72
190,41,farm14,20170312,31주차,397.98625,67.2545833,20.8895833,0.0,1461,1.7394444,30.414950352866246,11,2.65,5.69,80
191,41,farm14,20170313,31주차,518.6578058,76.9022689,18.0263307,1.0,464,1.034,30.414950352866246,8,2.68,5.6,92
192,41,farm14,20170314,31주차,646.5566667,76.7679167,19.8145833,1.0,1723,1.5195833,30.414950352866246,15,2.7,5.36,100
193,41,farm14,20170316,31주차,652.3520833,79.59375,20.1,0.0,1501,1.6858333,30.414950352866246,13,2.71,5.75,87
194,41,farm14,20170317,31주차,609.52125,79.5758333,18.975,0.0,1103,1.3416667,30.414950352866246,8,2.68,5.75,94
195,41,farm14,20170318,31주차,540.1829167,80.1966667,18.26375,1.0,555,0.96,30.414950352866246,10,2.68,5.62,90
196,43,farm14,20170312,31주차,397.98625,67.2545833,20.8895833,0.0,1461,1.7394444,30.414950352866246,11,2.65,5.69,80
197,43,farm14,20170313,31주차,518.6578058,76.9022689,18.0263307,1.0,464,1.034,30.414950352866246,8,2.68,5.6,92
198,43,farm14,20170314,31주차,646.5566667,76.7679167,19.8145833,1.0,1723,1.5195833,30.414950352866246,15,2.7,5.36,100
199,43,farm14,20170316,31주차,652.3520833,79.59375,20.1,0.0,1501,1.6858333,30.414950352866246,13,2.71,5.75,87
200,43,farm14,20170317,31주차,609.52125,79.5758333,18.975,0.0,1103,1.3416667,30.414950352866246,8,2.68,5.75,94
201,43,farm14,20170318,31주차,540.1829167,80.1966667,18.26375,1.0,555,0.96,30.414950352866246,10,2.68,5.62,90
202,44,farm14,20170319,32주차,608.9620833,81.22625,19.2420833,1.0,959,0.978125,30.414950352866246,10,2.7,5.62,92
203,44,farm14,20170320,32주차,560.93875,77.7241667,19.5725,1.0,1462,1.4209524,30.414950352866246,15,2.82,5.59,101
204,44,farm14,20170321,32주차,514.77125,76.53625,21.5358333,1.0,1814,1.2341667,30.414950352866246,15,2.67,4.78,93
205,44,farm14,20170322,32주차,542.9279167,82.6704167,17.805,1.0,318,0.7385714,30.414950352866246,9,2.71,5.65,96
206,44,farm14,20170323,32주차,518.47125,75.0095833,22.0545833,0.0,2026,1.4142857,30.414950352866246,14,2.64,4.85,95
207,44,farm14,20170324,32주차,510.99125,79.2854167,18.82875,1.0,691,2.0675,30.414950352866246,8,2.7,5.73,87
208,44,farm14,20170325,32주차,520.8841667,79.36875,19.59625,1.0,751,1.4433333,30.414950352866246,9,2.69,5.74,86
209,45,farm14,20170319,32주차,608.9620833,81.22625,19.2420833,1.0,959,0.978125,30.414950352866246,10,2.7,5.62,92
210,45,farm14,20170320,32주차,560.93875,77.7241667,19.5725,1.0,1462,1.4209524,30.414950352866246,15,2.82,5.59,101
211,45,farm14,20170321,32주차,514.77125,76.53625,21.5358333,1.0,1814,1.2341667,30.414950352866246,15,2.67,4.78,93
212,45,farm14,20170322,32주차,542.9279167,82.6704167,17.805,1.0,318,0.7385714,30.414950352866246,9,2.71,5.65,96
213,45,farm14,20170323,32주차,518.47125,75.0095833,22.0545833,0.0,2026,1.4142857,30.414950352866246,14,2.64,4.85,95
214,45,farm14,20170324,32주차,510.99125,79.2854167,18.82875,1.0,691,2.0675,30.414950352866246,8,2.7,5.73,87
215,45,farm14,20170325,32주차,520.8841667,79.36875,19.59625,1.0,751,1.4433333,30.414950352866246,9,2.69,5.74,86
216,46,farm14,20170319,32주차,608.9620833,81.22625,19.2420833,1.0,959,0.978125,30.414950352866246,10,2.7,5.62,92
217,46,farm14,20170320,32주차,560.93875,77.7241667,19.5725,1.0,1462,1.4209524,30.414950352866246,15,2.82,5.59,101
