Sample_no,시설ID,일,주차,내부CO2,내부습도,내부온도,일사량,급액횟수,급액EC(dS/m),급액pH,급액량(회당)
13,farm33,20170306,30,391.4383333,83.6133333,20.5966667,1481,13,2.82,5.71,97
13,farm33,20170307,30,394.7583333,85.0275,20.4608333,1478,15,2.83,5.59,92
13,farm33,20170308,30,424.7966667,82.4375,20.2095833,1698,13,2.68,5.26,93
13,farm33,20170309,30,409.0691667,84.8108333,19.2066667,1236,11,2.82,5.72,93
13,farm33,20170310,30,405.8041667,83.6258333,19.6683333,1654,13,2.65,4.66,86
13,farm33,20170311,30,447.67125,87.9516667,19.9,1099,9,2.69,5.63,90
14,farm33,20170305,30,424.5258333,83.8095833,20.23875,1538,14,2.83,5.6,87
14,farm33,20170306,30,391.4383333,83.6133333,20.5966667,1481,13,2.82,5.71,97
14,farm33,20170307,30,394.7583333,85.0275,20.4608333,1478,15,2.83,5.59,92
14,farm33,20170308,30,424.7966667,82.4375,20.2095833,1698,13,2.68,5.26,93
14,farm33,20170309,30,409.0691667,84.8108333,19.2066667,1236,11,2.82,5.72,93
14,farm33,20170310,30,405.8041667,83.6258333,19.6683333,1654,13,2.65,4.66,86
14,farm33,20170311,30,447.67125,87.9516667,19.9,1099,9,2.69,5.63,90
15,farm33,20170305,30,424.5258333,83.8095833,20.23875,1538,14,2.83,5.6,87
15,farm33,20170306,30,391.4383333,83.6133333,20.5966667,1481,13,2.82,5.71,97
15,farm33,20170307,30,394.7583333,85.0275,20.4608333,1478,15,2.83,5.59,92
15,farm33,20170308,30,424.7966667,82.4375,20.2095833,1698,13,2.68,5.26,93
15,farm33,20170309,30,409.0691667,84.8108333,19.2066667,1236,11,2.82,5.72,93
15,farm33,20170310,30,405.8041667,83.6258333,19.6683333,1654,13,2.65,4.66,86
15,farm33,20170311,30,447.67125,87.9516667,19.9,1099,9,2.69,5.63,90
16,farm33,20170312,31,428.01125,82.37625,20.3033333,1626,14,2.73,5.7,89
16,farm33,20170313,31,483.585,93.0041667,17.9241667,467,10,2.67,5.69,99
16,farm33,20170314,31,428.3545833,85.6145833,20.595,1489,14,2.78,5.75,89
16,farm33,20170315,31,430.9491667,87.575,20.3354167,1303,11,2.75,5.69,90
16,farm33,20170316,31,423.6766667,86.4758333,20.0741667,1284,11,2.76,5.6,90
16,farm33,20170317,31,447.3079167,89.6341667,20.24,928,9,2.66,5.64,94
16,farm33,20170318,31,479.3066667,92.50875,17.48625,448,9,2.68,5.68,98
17,farm33,20170312,31,428.01125,82.37625,20.3033333,1626,14,2.73,5.7,89
17,farm33,20170313,31,483.585,93.0041667,17.9241667,467,10,2.67,5.69,99
17,farm33,20170314,31,428.3545833,85.6145833,20.595,1489,14,2.78,5.75,89
17,farm33,20170315,31,430.9491667,87.575,20.3354167,1303,11,2.75,5.69,90
17,farm33,20170316,31,423.6766667,86.4758333,20.0741667,1284,11,2.76,5.6,90
17,farm33,20170317,31,447.3079167,89.6341667,20.24,928,9,2.66,5.64,94
17,farm33,20170318,31,479.3066667,92.50875,17.48625,448,9,2.68,5.68,98
18,farm33,20170312,31,428.01125,82.37625,20.3033333,1626,14,2.73,5.7,89
18,farm33,20170313,31,483.585,93.0041667,17.9241667,467,10,2.67,5.69,99
18,farm33,20170314,31,428.3545833,85.6145833,20.595,1489,14,2.78,5.75,89
18,farm33,20170315,31,430.9491667,87.575,20.3354167,1303,11,2.75,5.69,90
18,farm33,20170316,31,423.6766667,86.4758333,20.0741667,1284,11,2.76,5.6,90
18,farm33,20170317,31,447.3079167,89.6341667,20.24,928,9,2.66,5.64,94
18,farm33,20170318,31,479.3066667,92.50875,17.48625,448,9,2.68,5.68,98
20,farm33,20170319,32,504.35375,89.7945833,18.6679167,967,10,2.68,5.64,95
20,farm33,20170320,32,466.19625,87.5975,19.4358333,1139,8,2.7,5.72,100
20,farm33,20170321,32,424.01,81.9745833,19.6170833,1553,13,2.74,5.61,98
20,farm33,20170322,32,473.9170833,91.37375,17.05,226,10,2.7,5.63,97
20,farm33,20170323,32,422.0395833,77.32125,20.6908333,1721,13,2.7,5.09,100
20,farm33,20170324,32,422.1441667,88.1158333,18.86375,596,10,2.66,5.66,97
20,farm33,20170325,32,423.4054167,85.0375,19.5791667,904,10,2.67,5.64,86
21,farm33,20170319,32,504.35375,89.7945833,18.6679167,967,10,2.68,5.64,95
21,farm33,20170320,32,466.19625,87.5975,19.4358333,1139,8,2.7,5.72,100
21,farm33,20170321,32,424.01,81.9745833,19.6170833,1553,13,2.74,5.61,98
21,farm33,20170322,32,473.9170833,91.37375,17.05,226,10,2.7,5.63,97
21,farm33,20170323,32,422.0395833,77.32125,20.6908333,1721,13,2.7,5.09,100
21,farm33,20170324,32,422.1441667,88.1158333,18.86375,596,10,2.66,5.66,97
21,farm33,20170325,32,423.4054167,85.0375,19.5791667,904,10,2.67,5.64,86
22,farm33,20170319,32,504.35375,89.7945833,18.6679167,967,10,2.68,5.64,95
22,farm33,20170320,32,466.19625,87.5975,19.4358333,1139,8,2.7,5.72,100
22,farm33,20170321,32,424.01,81.9745833,19.6170833,1553,13,2.74,5.61,98
22,farm33,20170322,32,473.9170833,91.37375,17.05,226,10,2.7,5.63,97
22,farm33,20170323,32,422.0395833,77.32125,20.6908333,1721,13,2.7,5.09,100
22,farm33,20170324,32,422.1441667,88.1158333,18.86375,596,10,2.66,5.66,97
22,farm33,20170325,32,423.4054167,85.0375,19.5791667,904,10,2.67,5.64,86
24,farm33,20170423,37,3.2233333,5.9991667,1.8358333,0,21,2.23,6.19,72
24,farm33,20170424,37,3.15,6.3229167,1.5704167,0,16,2.18,6.07,74
24,farm33,20170425,37,3.1854167,5.6533333,1.5445833,0,18,2.2,6.05,72
24,farm33,20170426,37,3.1725,5.6125,1.6775,0,18,2.28,5.99,78
24,farm33,20170427,37,3.23375,6.4291667,1.5883333,0,18,2.25,6.04,70
24,farm33,20170428,37,3.0,8.3541667,1.5275,0,19,2.28,6.06,71
24,farm33,20170429,37,2.655,4.91875,1.5425,0,18,2.22,6.05,76
25,farm33,20170423,37,3.2233333,5.9991667,1.8358333,0,21,2.23,6.19,72
25,farm33,20170424,37,3.15,6.3229167,1.5704167,0,16,2.18,6.07,74
25,farm33,20170425,37,3.1854167,5.6533333,1.5445833,0,18,2.2,6.05,72
25,farm33,20170426,37,3.1725,5.6125,1.6775,0,18,2.28,5.99,78
25,farm33,20170427,37,3.23375,6.4291667,1.5883333,0,18,2.25,6.04,70
25,farm33,20170428,37,3.0,8.3541667,1.5275,0,19,2.28,6.06,71
25,farm33,20170429,37,2.655,4.91875,1.5425,0,18,2.22,6.05,76
26,farm33,20170423,37,3.2233333,5.9991667,1.8358333,0,21,2.23,6.19,72
26,farm33,20170424,37,3.15,6.3229167,1.5704167,0,16,2.18,6.07,74
26,farm33,20170425,37,3.1854167,5.6533333,1.5445833,0,18,2.2,6.05,72
26,farm33,20170426,37,3.1725,5.6125,1.6775,0,18,2.28,5.99,78
26,farm33,20170427,37,3.23375,6.4291667,1.5883333,0,18,2.25,6.04,70
26,farm33,20170428,37,3.0,8.3541667,1.5275,0,19,2.28,6.06,71
26,farm33,20170429,37,2.655,4.91875,1.5425,0,18,2.22,6.05,76
32,farm33,20170507,39,2.7020833,4.7695833,1.6354167,0,16,2.24,6.05,75
32,farm33,20170508,39,2.72375,5.3654167,1.5133333,0,18,2.27,5.98,72
32,farm33,20170509,39,2.8079167,6.1141667,1.4670833,0,20,2.26,6.0,70
32,farm33,20170512,39,2.99,5.6091667,1.9783333,0,21,2.23,6.19,78
32,farm33,20170513,39,2.9525,5.9008333,1.7808333,0,19,2.29,6.08,78
33,farm33,20170507,39,2.7020833,4.7695833,1.6354167,0,16,2.24,6.05,75
33,farm33,20170508,39,2.72375,5.3654167,1.5133333,0,18,2.27,5.98,72
33,farm33,20170509,39,2.8079167,6.1141667,1.4670833,0,20,2.26,6.0,70
33,farm33,20170512,39,2.99,5.6091667,1.9783333,0,21,2.23,6.19,78
33,farm33,20170513,39,2.9525,5.9008333,1.7808333,0,19,2.29,6.08,78
34,farm33,20170507,39,2.7020833,4.7695833,1.6354167,0,16,2.24,6.05,75
34,farm33,20170508,39,2.72375,5.3654167,1.5133333,0,18,2.27,5.98,72
34,farm33,20170509,39,2.8079167,6.1141667,1.4670833,0,20,2.26,6.0,70
34,farm33,20170512,39,2.99,5.6091667,1.9783333,0,21,2.23,6.19,78
34,farm33,20170513,39,2.9525,5.9008333,1.7808333,0,19,2.29,6.08,78
35,farm33,20170507,39,2.7020833,4.7695833,1.6354167,0,16,2.24,6.05,75
35,farm33,20170508,39,2.72375,5.3654167,1.5133333,0,18,2.27,5.98,72
35,farm33,20170509,39,2.8079167,6.1141667,1.4670833,0,20,2.26,6.0,70
35,farm33,20170512,39,2.99,5.6091667,1.9783333,0,21,2.23,6.19,78
35,farm33,20170513,39,2.9525,5.9008333,1.7808333,0,19,2.29,6.08,78
36,farm14,20170305,30,394.6154167,70.8591667,21.6125,1430,11,2.73,5.49,99
36,farm14,20170306,30,397.66125,72.8691667,21.3275,1323,12,2.72,5.57,100
36,farm14,20170307,30,387.3641667,71.1879167,21.7195833,1425,11,2.71,5.58,94
36,farm14,20170308,30,402.93125,70.06125,21.71375,1524,11,2.69,5.71,79
36,farm14,20170309,30,408.6725,72.9904167,20.8466667,1221,9,2.72,4.4,92
36,farm14,20170310,30,404.8058333,69.4541667,21.0216667,1501,12,2.71,5.62,81
36,farm14,20170311,30,415.2745833,73.42,20.1191667,1008,21,2.17,5.97,72
37,farm14,20170305,30,394.6154167,70.8591667,21.6125,1430,11,2.73,5.49,99
37,farm14,20170306,30,397.66125,72.8691667,21.3275,1323,12,2.72,5.57,100
37,farm14,20170307,30,387.3641667,71.1879167,21.7195833,1425,11,2.71,5.58,94
37,farm14,20170308,30,402.93125,70.06125,21.71375,1524,11,2.69,5.71,79
37,farm14,20170309,30,408.6725,72.9904167,20.8466667,1221,9,2.72,4.4,92
37,farm14,20170310,30,404.8058333,69.4541667,21.0216667,1501,12,2.71,5.62,81
37,farm14,20170311,30,415.2745833,73.42,20.1191667,1008,21,2.17,5.97,72
38,farm14,20170305,30,394.6154167,70.8591667,21.6125,1430,11,2.73,5.49,99
38,farm14,20170306,30,397.66125,72.8691667,21.3275,1323,12,2.72,5.57,100
38,farm14,20170307,30,387.3641667,71.1879167,21.7195833,1425,11,2.71,5.58,94
38,farm14,20170308,30,402.93125,70.06125,21.71375,1524,11,2.69,5.71,79
38,farm14,20170309,30,408.6725,72.9904167,20.8466667,1221,9,2.72,4.4,92
38,farm14,20170310,30,404.8058333,69.4541667,21.0216667,1501,12,2.71,5.62,81
38,farm14,20170311,30,415.2745833,73.42,20.1191667,1008,21,2.17,5.97,72
39,farm14,20170305,30,394.6154167,70.8591667,21.6125,1430,11,2.73,5.49,99
39,farm14,20170306,30,397.66125,72.8691667,21.3275,1323,12,2.72,5.57,100
39,farm14,20170307,30,387.3641667,71.1879167,21.7195833,1425,11,2.71,5.58,94
39,farm14,20170308,30,402.93125,70.06125,21.71375,1524,11,2.69,5.71,79
39,farm14,20170309,30,408.6725,72.9904167,20.8466667,1221,9,2.72,4.4,92
39,farm14,20170310,30,404.8058333,69.4541667,21.0216667,1501,12,2.71,5.62,81
39,farm14,20170311,30,415.2745833,73.42,20.1191667,1008,21,2.17,5.97,72
41,farm14,20170312,31,397.98625,67.2545833,20.8895833,1461,11,2.65,5.69,80
41,farm14,20170313,31,518.6578058,76.9022689,18.0263307,464,8,2.68,5.6,92
41,farm14,20170314,31,646.5566667,76.7679167,19.8145833,1723,15,2.7,5.36,100
41,farm14,20170316,31,652.3520833,79.59375,20.1,1501,13,2.71,5.75,87
41,farm14,20170317,31,609.52125,79.5758333,18.975,1103,8,2.68,5.75,94
41,farm14,20170318,31,540.1829167,80.1966667,18.26375,555,10,2.68,5.62,90
43,farm14,20170312,31,397.98625,67.2545833,20.8895833,1461,11,2.65,5.69,80
43,farm14,20170313,31,518.6578058,76.9022689,18.0263307,464,8,2.68,5.6,92
43,farm14,20170314,31,646.5566667,76.7679167,19.8145833,1723,15,2.7,5.36,100
43,farm14,20170316,31,652.3520833,79.59375,20.1,1501,13,2.71,5.75,87
43,farm14,20170317,31,609.52125,79.5758333,18.975,1103,8,2.68,5.75,94
43,farm14,20170318,31,540.1829167,80.1966667,18.26375,555,10,2.68,5.62,90
44,farm14,20170319,32,608.9620833,81.22625,19.2420833,959,10,2.7,5.62,92
44,farm14,20170320,32,560.93875,77.7241667,19.5725,1462,15,2.82,5.59,101
44,farm14,20170321,32,514.77125,76.53625,21.5358333,1814,15,2.67,4.78,93
44,farm14,20170322,32,542.9279167,82.6704167,17.805,318,9,2.71,5.65,96
44,farm14,20170323,32,518.47125,75.0095833,22.0545833,2026,14,2.64,4.85,95
44,farm14,20170324,32,510.99125,79.2854167,18.82875,691,8,2.7,5.73,87
44,farm14,20170325,32,520.8841667,79.36875,19.59625,751,9,2.69,5.74,86
45,farm14,20170319,32,608.9620833,81.22625,19.2420833,959,10,2.7,5.62,92
45,farm14,20170320,32,560.93875,77.7241667,19.5725,1462,15,2.82,5.59,101
45,farm14,20170321,32,514.77125,76.53625,21.5358333,1814,15,2.67,4.78,93
45,farm14,20170322,32,542.9279167,82.6704167,17.805,318,9,2.71,5.65,96
45,farm14,20170323,32,518.47125,75.0095833,22.0545833,2026,14,2.64,4.85,95
45,farm14,20170324,32,510.99125,79.2854167,18.82875,691,8,2.7,5.73,87
45,farm14,20170325,32,520.8841667,79.36875,19.59625,751,9,2.69,5.74,86
46,farm14,20170319,32,608.9620833,81.22625,19.2420833,959,10,2.7,5.62,92
46,farm14,20170320,32,560.93875,77.7241667,19.5725,1462,15,2.82,5.59,101
46,farm14,20170321,32,514.77125,76.53625,21.5358333,1814,15,2.67,4.78,93
46,farm14,20170322,32,542.9279167,82.6704167,17.805,318,9,2.71,5.65,96
46,farm14,20170323,32,518.47125,75.0095833,22.0545833,2026,14,2.64,4.85,95
46,farm14,20170324,32,510.99125,79.2854167,18.82875,691,8,2.7,5.73,87
46,farm14,20170325,32,520.8841667,79.36875,19.59625,751,9,2.69,5.74,86
47,farm14,20170319,32,608.9620833,81.22625,19.2420833,959,10,2.7,5.62,92
47,farm14,20170320,32,560.93875,77.7241667,19.5725,1462,15,2.82,5.59,101
47,farm14,20170321,32,514.77125,76.53625,21.5358333,1814,15,2.67,4.78,93
47,farm14,20170322,32,542.9279167,82.6704167,17.805,318,9,2.71,5.65,96
47,farm14,20170323,32,518.47125,75.0095833,22.0545833,2026,14,2.64,4.85,95
47,farm14,20170324,32,510.99125,79.2854167,18.82875,691,8,2.7,5.73,87
47,farm14,20170325,32,520.8841667,79.36875,19.59625,751,9,2.69,5.74,86
48,farm18,20170305,32,570.5358333,72.9425,18.8245833,1722,16,2.58,5.65,71
48,farm18,20170306,32,558.775,77.2308333,18.7066667,1581,19,2.54,6.09,74
48,farm18,20170307,32,566.9491667,74.0004167,18.7508333,1720,21,2.61,5.63,73
48,farm18,20170308,32,562.6554167,71.8458333,19.1433333,1934,21,2.57,5.75,78
48,farm18,20170309,32,525.095,74.6441667,18.7616667,1516,16,2.61,6.04,74
48,farm18,20170310,32,540.4129167,71.51625,19.07375,1865,18,2.56,5.75,76
48,farm18,20170311,32,567.4741667,72.4933333,18.7716667,1164,16,2.26,5.82,72
49,farm18,20170305,32,570.5358333,72.9425,18.8245833,1722,16,2.58,5.65,71
49,farm18,20170306,32,558.775,77.2308333,18.7066667,1581,19,2.54,6.09,74
49,farm18,20170307,32,566.9491667,74.0004167,18.7508333,1720,21,2.61,5.63,73
49,farm18,20170308,32,562.6554167,71.8458333,19.1433333,1934,21,2.57,5.75,78
49,farm18,20170309,32,525.095,74.6441667,18.7616667,1516,16,2.61,6.04,74
49,farm18,20170310,32,540.4129167,71.51625,19.07375,1865,18,2.56,5.75,76
49,farm18,20170311,32,567.4741667,72.4933333,18.7716667,1164,16,2.26,5.82,72
50,farm18,20170305,32,570.5358333,72.9425,18.8245833,1722,16,2.58,5.65,71
50,farm18,20170306,32,558.775,77.2308333,18.7066667,1581,19,2.54,6.09,74
50,farm18,20170307,32,566.9491667,74.0004167,18.7508333,1720,21,2.61,5.63,73
50,farm18,20170308,32,562.6554167,71.8458333,19.1433333,1934,21,2.57,5.75,78
50,farm18,20170309,32,525.095,74.6441667,18.7616667,1516,16,2.61,6.04,74
50,farm18,20170310,32,540.4129167,71.51625,19.07375,1865,18,2.56,5.75,76
50,farm18,20170311,32,567.4741667,72.4933333,18.7716667,1164,16,2.26,5.82,72
51,farm18,20170305,32,570.5358333,72.9425,18.8245833,1722,16,2.58,5.65,71
51,farm18,20170306,32,558.775,77.2308333,18.7066667,1581,19,2.54,6.09,74
51,farm18,20170307,32,566.9491667,74.0004167,18.7508333,1720,21,2.61,5.63,73
51,farm18,20170308,32,562.6554167,71.8458333,19.1433333,1934,21,2.57,5.75,78
51,farm18,20170309,32,525.095,74.6441667,18.7616667,1516,16,2.61,6.04,74
51,farm18,20170310,32,540.4129167,71.51625,19.07375,1865,18,2.56,5.75,76
51,farm18,20170311,32,567.4741667,72.4933333,18.7716667,1164,16,2.26,5.82,72
52,farm18,20170312,33,566.7083333,69.1866667,19.0320833,1836,18,2.26,4.6,80
52,farm18,20170313,33,558.4029167,83.1125,17.2566667,477,9,2.69,5.66,93
52,farm18,20170314,33,577.5154167,74.3604167,19.0420833,1833,13,2.71,4.94,89
52,farm18,20170315,33,569.7516667,75.53875,18.7525,1442,13,2.66,5.55,81
52,farm18,20170316,33,570.59875,76.04875,18.7170833,1383,14,2.66,5.57,81
52,farm18,20170317,33,559.05875,75.4583333,18.9420833,1074,10,2.7,5.65,88
52,farm18,20170318,33,591.7858333,83.4016667,18.0275,507,10,2.69,5.65,90
53,farm18,20170312,33,566.7083333,69.1866667,19.0320833,1836,18,2.26,4.6,80
53,farm18,20170313,33,558.4029167,83.1125,17.2566667,477,9,2.69,5.66,93
53,farm18,20170314,33,577.5154167,74.3604167,19.0420833,1833,13,2.71,4.94,89
53,farm18,20170315,33,569.7516667,75.53875,18.7525,1442,13,2.66,5.55,81
53,farm18,20170316,33,570.59875,76.04875,18.7170833,1383,14,2.66,5.57,81
53,farm18,20170317,33,559.05875,75.4583333,18.9420833,1074,10,2.7,5.65,88
53,farm18,20170318,33,591.7858333,83.4016667,18.0275,507,10,2.69,5.65,90
54,farm18,20170312,33,566.7083333,69.1866667,19.0320833,1836,18,2.26,4.6,80
54,farm18,20170313,33,558.4029167,83.1125,17.2566667,477,9,2.69,5.66,93
54,farm18,20170314,33,577.5154167,74.3604167,19.0420833,1833,13,2.71,4.94,89
54,farm18,20170315,33,569.7516667,75.53875,18.7525,1442,13,2.66,5.55,81
54,farm18,20170316,33,570.59875,76.04875,18.7170833,1383,14,2.66,5.57,81
54,farm18,20170317,33,559.05875,75.4583333,18.9420833,1074,10,2.7,5.65,88
54,farm18,20170318,33,591.7858333,83.4016667,18.0275,507,10,2.69,5.65,90
55,farm18,20170312,33,566.7083333,69.1866667,19.0320833,1836,18,2.26,4.6,80
55,farm18,20170313,33,558.4029167,83.1125,17.2566667,477,9,2.69,5.66,93
55,farm18,20170314,33,577.5154167,74.3604167,19.0420833,1833,13,2.71,4.94,89
55,farm18,20170315,33,569.7516667,75.53875,18.7525,1442,13,2.66,5.55,81
55,farm18,20170316,33,570.59875,76.04875,18.7170833,1383,14,2.66,5.57,81
55,farm18,20170317,33,559.05875,75.4583333,18.9420833,1074,10,2.7,5.65,88
55,farm18,20170318,33,591.7858333,83.4016667,18.0275,507,10,2.69,5.65,90
58,farm18,20170319,34,552.3741667,75.4158333,18.7591667,1277,10,2.8,4.23,95
58,farm18,20170320,34,575.6691667,76.8575,18.6825,1432,13,2.66,5.47,83
58,farm18,20170321,34,559.28,75.7604167,18.9341667,1719,13,2.69,4.62,88
58,farm18,20170322,34,572.6804167,79.4870833,19.1575,325,8,2.68,5.6,95
58,farm18,20170323,34,583.0304167,74.2495833,19.43375,1981,19,2.61,5.59,78
58,farm18,20170324,34,588.2270833,80.3995833,18.85625,685,8,2.65,5.76,93
58,farm18,20170325,34,583.6508333,78.3775,19.13625,1239,10,2.77,4.94,101
59,farm18,20170319,34,552.3741667,75.4158333,18.7591667,1277,10,2.8,4.23,95
59,farm18,20170320,34,575.6691667,76.8575,18.6825,1432,13,2.66,5.47,83
59,farm18,20170321,34,559.28,75.7604167,18.9341667,1719,13,2.69,4.62,88
59,farm18,20170322,34,572.6804167,79.4870833,19.1575,325,8,2.68,5.6,95
59,farm18,20170323,34,583.0304167,74.2495833,19.43375,1981,19,2.61,5.59,78
59,farm18,20170324,34,588.2270833,80.3995833,18.85625,685,8,2.65,5.76,93
59,farm18,20170325,34,583.6508333,78.3775,19.13625,1239,10,2.77,4.94,101
60,farm18,20170409,37,560.9583333,719.8616667,20.7820833,2162,14,2.7,4.78,86
60,farm18,20170410,37,639.6975,857.1591667,17.19,125,10,2.7,5.59,95
60,farm18,20170411,37,569.5566667,771.5858333,18.445,1674,13,2.65,4.14,100
60,farm18,20170412,37,560.9154167,666.8175,19.0970833,2316,15,2.67,5.21,97
60,farm18,20170413,37,628.1933333,824.02375,17.76625,603,8,2.65,5.74,90
60,farm18,20170414,37,591.4629167,758.0233333,19.22375,2064,14,2.68,4.55,94
60,farm18,20170415,37,593.5608333,710.00625,19.1166667,2235,13,2.68,5.03,91
61,farm18,20170409,37,560.9583333,719.8616667,20.7820833,2162,14,2.7,4.78,86
61,farm18,20170410,37,639.6975,857.1591667,17.19,125,10,2.7,5.59,95
61,farm18,20170411,37,569.5566667,771.5858333,18.445,1674,13,2.65,4.14,100
61,farm18,20170412,37,560.9154167,666.8175,19.0970833,2316,15,2.67,5.21,97
61,farm18,20170413,37,628.1933333,824.02375,17.76625,603,8,2.65,5.74,90
61,farm18,20170414,37,591.4629167,758.0233333,19.22375,2064,14,2.68,4.55,94
61,farm18,20170415,37,593.5608333,710.00625,19.1166667,2235,13,2.68,5.03,91
62,farm18,20170409,37,560.9583333,719.8616667,20.7820833,2162,14,2.7,4.78,86
62,farm18,20170410,37,639.6975,857.1591667,17.19,125,10,2.7,5.59,95
62,farm18,20170411,37,569.5566667,771.5858333,18.445,1674,13,2.65,4.14,100
62,farm18,20170412,37,560.9154167,666.8175,19.0970833,2316,15,2.67,5.21,97
62,farm18,20170413,37,628.1933333,824.02375,17.76625,603,8,2.65,5.74,90
62,farm18,20170414,37,591.4629167,758.0233333,19.22375,2064,14,2.68,4.55,94
