,생장길이,줄기직경,개화군
424,212.0,7.7,13.86
425,247.0,8.1,13.6
426,236.0,7.3,13.47
427,211.0,5.3,13.42
428,217.0,7.1,14.6
429,0.0,9.81,14.0
430,0.0,8.34,11.3
431,358.0,7.46,8.0
432,381.0,8.57,8.0
433,89.0,9.79,26.7
434,263.0,5.64,41.0
435,150.0,3.63,2.4
436,170.0,4.55,2.0
437,80.0,7.76,2.2
438,60.0,9.74,2.8
439,0.0,9.5,5.4
440,0.0,9.4,6.4
441,0.0,10.0,4.7
442,0.0,12.45,5.4
443,180.0,10.5,6.1
444,220.0,11.65,6.7
445,200.0,11.4,5.3
446,180.0,9.9,7.0
447,200.0,11.9,6.3
448,180.0,9.0,8.3
449,160.0,8.4,5.7
450,190.0,9.5,5.7
451,230.0,9.0,5.7
452,200.0,4.8,6.7
453,250.0,9.2,7.0
454,210.0,105.0,6.0
455,220.0,10.9,6.0
456,230.0,9.0,6.0
457,220.0,10.4,6.7
458,250.0,11.8,6.3
459,260.0,12.0,4.3
460,240.0,11.7,7.3
461,160.0,8.5,6.0
462,140.0,9.2,6.3
463,120.0,11.0,7.7
464,220.0,8.5,7.0
465,210.0,3.5,6.0
466,170.0,9.2,6.0
467,200.0,8.0,6.0
468,230.0,6.7,7.0
469,310.0,10.0,7.0
470,300.0,7.3,7.0
471,200.0,10.6,7.0
472,220.0,3.5,7.0
473,180.0,8.0,7.0
474,180.0,5.1,7.0
475,220.0,6.8,7.0
476,0.0,0.0,0.0
477,0.0,0.0,0.0
478,1170.0,13.0,2.0
479,1030.0,14.0,2.0
480,180.0,13.0,3.0
481,240.0,13.0,3.0
482,140.0,10.0,4.0
483,150.0,12.0,4.0
484,180.0,12.0,4.0
485,110.0,13.0,4.0
486,110.0,12.0,5.0
487,70.0,13.0,4.0
488,30.0,11.0,6.0
489,50.0,11.0,6.0
490,50.0,7.0,7.0
491,30.0,10.0,8.0
492,130.0,10.0,7.0
493,70.0,7.0,8.0
494,100.0,10.0,8.0
495,110.0,11.0,8.0
496,90.0,8.0,8.0
497,50.0,10.0,9.0
498,90.0,8.0,9.0
499,60.0,9.0,9.0
500,100.0,11.0,8.0
501,50.0,10.0,8.0
502,20.0,11.0,8.0
503,60.0,9.0,8.0
504,80.0,12.0,9.0
505,50.0,11.0,8.0
506,80.0,10.0,8.0
507,80.0,11.0,8.0
508,70.0,10.0,9.0
509,70.0,11.0,8.0
510,30.0,12.0,8.0
511,40.0,11.0,8.0
512,30.0,9.0,9.0
513,50.0,11.0,8.0
514,40.0,10.0,9.0
515,40.0,12.0,9.0
516,30.0,13.0,8.0
517,80.0,12.0,8.0
518,80.0,14.0,9.0
519,90.0,9.0,10.0
520,110.0,12.0,8.0
521,80.0,11.0,8.0
522,40.0,8.0,10.0
523,50.0,8.0,10.0
524,50.0,11.0,9.0
525,50.0,6.0,9.0
526,20.0,11.0,10.0
527,30.0,13.0,9.0
528,30.0,13.0,9.0
529,480.0,9.5,0.2
530,500.0,10.0,0.2
531,600.0,11.0,0.6
532,480.0,9.5,0.2
533,520.0,15.5,0.4
534,500.0,10.0,0.2
535,600.0,11.0,0.6
536,330.0,14.2,0.6
537,290.0,13.0,0.2
538,280.0,12.2,0.6
539,350.0,11.8,0.4
540,310.0,12.0,0.6
541,150.0,11.0,0.8
542,210.0,10.0,0.8
543,280.0,12.0,0.2
544,250.0,13.0,0.4
545,220.0,12.0,4.75
546,180.0,7.0,1.6
547,170.0,8.0,2.0
548,150.0,10.0,4.33
549,100.0,11.0,3.8
550,90.0,9.0,2.57
551,140.0,11.0,5.0
552,160.0,11.0,3.4
553,150.0,10.0,4.5
554,140.0,12.0,4.6
555,120.0,10.0,3.25
556,170.0,11.0,0.67
557,160.0,11.0,0.5
558,126.0,8.9,6.25
559,142.0,6.9,7.2
560,132.0,9.2,6.5
561,225.0,6.5,11.2
562,174.0,6.2,10.6
563,185.0,6.4,10.2
564,231.0,10.2,11.5
565,220.0,10.6,11.6
566,213.0,6.1,11.2
567,177.0,9.2,13.8
568,174.0,8.9,11.8
569,137.0,7.5,12.6
570,212.0,9.9,12.8
571,172.0,6.8,15.5
572,242.0,6.2,14.2
573,203.0,7.1,14.5
574,218.0,7.3,15.0
575,199.0,3.7,17.2
576,165.0,6.7,15.6
577,140.0,6.5,16.0
578,191.0,5.5,16.5
579,167.0,7.9,18.0
580,179.0,4.8,16.6
581,188.0,5.6,16.5
582,158.0,3.5,17.25
583,230.0,6.3,18.6
584,221.0,4.0,17.25
585,207.0,7.4,17.0
586,232.0,5.6,19.4
587,180.0,6.1,18.0
588,40.0,7.3,21.0
589,77.0,5.0,21.2
590,127.0,6.9,19.0
591,56.0,6.2,20.0
592,0.0,9.1,21.0
593,0.0,6.7,20.0
594,2210.0,14.1,4.6
595,270.0,14.5,4.67
596,430.0,12.7,4.75
597,250.0,11.1,4.5
598,350.0,12.3,4.5
599,160.0,9.6,5.75
600,180.0,15.2,4.0
601,190.0,11.9,5.0
602,180.0,8.8,6.0
603,250.0,12.5,5.5
604,340.0,10.5,5.5
605,280.0,9.7,6.71
606,220.0,9.1,6.5
607,220.0,6.9,6.6
608,110.0,7.8,7.0
609,200.0,8.2,6.83
610,210.0,10.9,7.67
611,230.0,9.7,6.4
612,260.0,8.6,7.6
613,220.0,6.4,8.67
614,200.0,7.8,8.0
615,200.0,10.2,7.43
616,230.0,7.2,9.75
617,120.0,7.6,8.5
618,160.0,8.3,8.0
619,70.0,4.7,9.0
620,200.0,8.2,8.67
621,260.0,8.3,8.0
622,160.0,8.3,10.0
623,160.0,8.7,8.6
624,200.0,8.1,9.6
625,130.0,5.5,8.25
626,260.0,7.2,9.0
627,400.0,8.0,10.28
628,200.0,6.3,8.0
629,160.0,9.2,10.75
630,140.0,6.6,9.33
631,180.0,9.2,10.75
632,130.0,10.6,9.57
633,220.0,0.6,14.57
634,240.0,1.0,13.33
635,320.0,1.2,16.42
636,260.0,0.7,14.83
637,210.0,1.0,16.0
638,190.0,0.9,14.5
639,240.0,1.1,18.0
640,230.0,0.6,14.5
641,220.0,0.6,15.25
642,200.0,0.7,15.5
643,260.0,0.9,17.5
644,190.0,0.5,15.5
645,230.0,0.7,16.16
646,220.0,0.8,15.25
647,220.0,0.8,18.4
648,150.0,0.6,15.4
649,200.0,0.6,19.6
650,110.0,0.6,16.4
651,210.0,5.3,19.5
652,170.0,5.4,16.37
653,160.0,7.0,16.6
654,130.0,6.5,19.5
655,140.0,6.1,17.8
656,220.0,5.2,19.33
657,170.0,7.7,17.2
658,360.0,4.6,19.6
659,360.0,5.7,18.6
660,370.0,8.2,22.0
661,260.0,6.2,18.66
662,210.0,6.9,20.0
663,220.0,11.7,22.0
664,170.0,5.1,20.25
665,5300.0,9.0,2.47
666,5160.0,9.1,1.87
667,4950.0,9.0,1.2
668,4900.0,9.7,1.2
669,5300.0,9.0,2.47
670,5160.0,9.1,1.87
671,4950.0,9.0,1.2
672,4900.0,9.7,1.2
673,270.0,7.2,6.55
674,265.0,5.4,5.2
675,330.0,5.0,5.3
676,300.0,6.7,6.5
677,290.0,5.3,7.7
678,270.0,4.5,7.0
679,300.0,7.8,5.7
680,290.0,4.3,8.7
681,220.0,7.2,6.4
682,205.0,7.3,6.9
683,250.0,3.1,8.43
684,290.0,6.1,7.67
685,210.0,7.0,9.59
686,170.0,4.1,9.46
687,180.0,7.3,8.59
688,190.0,7.8,7.44
689,230.0,4.5,10.38
690,220.0,5.7,10.48
691,175.0,8.3,9.32
692,175.0,8.2,9.53
693,190.0,6.3,11.5
694,200.0,5.4,9.33
695,185.0,6.5,9.52
696,0.0,7.1,11.33
697,0.0,5.6,12.67
698,0.0,7.7,10.53
699,0.0,7.9,9.39
700,0.0,7.0,0.0
701,0.0,7.4,0.0
702,0.0,7.5,0.0
703,0.0,6.6,14.0
704,0.0,8.9,0.0
705,0.0,7.4,0.0
706,0.0,8.1,0.0
707,0.0,8.4,0.0
708,0.0,7.4,0.0
709,0.0,8.9,0.0
710,0.0,9.1,0.0
711,0.0,8.0,0.0
712,0.0,8.9,0.0
713,0.0,9.7,0.0
714,0.0,9.0,0.0
715,0.0,8.4,0.0
716,0.0,9.4,0.0
717,0.0,9.1,0.0
718,0.0,9.0,0.0
719,0.0,9.8,0.0
720,0.0,9.1,0.0
721,730.0,6.8,1.46
722,760.0,7.5,1.5
723,710.0,8.5,1.75
724,720.0,8.5,1.6
725,223.0,9.6,1.38
726,209.0,9.8,2.25
727,215.0,9.2,2.35
728,240.0,7.6,2.38
729,210.0,11.1,1.37
730,203.0,10.8,2.38
731,211.0,10.7,3.36
732,176.0,12.3,2.41
733,232.0,10.9,2.33
734,212.0,5.7,4.52
735,257.0,6.7,4.35
736,221.0,5.4,4.4
737,256.0,9.0,5.33
738,0.0,0.0,0.0
739,0.0,0.0,0.0
740,0.0,0.0,0.0
741,0.0,0.0,0.0
742,53.0,2.03,0.0
743,36.0,2.04,0.0
744,117.0,3.49,0.0
745,139.0,5.1,0.0
746,137.0,5.04,0.0
747,134.0,3.9,0.0
748,323.0,10.15,2.2
749,896.0,12.14,2.43
750,346.0,11.01,2.13
751,912.0,11.23,2.13
752,375.0,6.88,5.25
753,453.0,8.13,5.33
754,398.0,8.42,5.4
755,2360.0,6.72,5.8
756,1760.0,14.48,4.33
757,1960.0,11.13,4.33
758,2005.0,7.5,8.0
759,1760.0,14.5,4.33
760,1960.0,11.1,4.33
761,166.0,12.1,5.5
762,219.0,7.8,5.66
763,180.0,6.7,6.33
764,165.0,8.8,6.33
765,125.0,11.3,6.67
766,49.0,6.7,5.22
767,190.0,8.8,7.71
768,150.0,7.8,8.17
769,75.0,8.2,6.38
770,148.0,6.0,8.75
771,124.0,8.7,7.17
772,105.0,9.1,7.33
773,244.0,7.3,8.5
774,158.0,8.1,8.75
775,168.0,9.4,8.25
776,118.0,9.7,6.0
777,257.0,10.3,8.38
778,126.0,9.2,9.83
779,634.0,11.0,9.83
780,38.0,8.4,8.5
781,60.0,9.1,8.3
782,-35.0,7.6,9.3
783,390.0,9.3,10.54
784,-110.0,4.4,7.2
785,130.0,7.4,10.45
786,340.0,8.2,11.0
787,170.0,8.6,11.33
788,150.0,9.5,12.5
789,245.0,9.8,13.0
790,100.0,4.7,9.0
791,320.0,9.3,13.28
792,120.0,9.9,13.83
793,240.0,11.7,12.0
794,330.0,6.9,13.25
795,200.0,9.3,14.0
796,160.0,6.2,14.8
797,160.0,7.9,13.66
798,135.0,10.4,14.9
799,30.0,9.1,15.4
800,135.0,7.9,14.62
801,230.0,9.5,15.5
802,120.0,8.5,14.5
803,110.0,7.8,16.16
804,180.0,7.0,15.71
805,130.0,9.7,15.38
806,110.0,8.6,15.9
807,180.0,8.7,15.42
808,120.0,10.6,15.71
809,450.0,6.3,16.33
810,120.0,9.5,16.8
811,0.0,8.1,15.3
812,0.0,10.1,16.8
813,0.0,8.6,15.27
814,0.0,8.8,16.2
815,0.0,9.9,16.2
816,0.0,8.8,16.0
817,0.0,9.7,16.0
818,3100.0,8.0,0.0
819,3300.0,6.2,1.0
820,3400.0,7.4,0.0
821,2950.0,6.2,0.1
822,3100.0,8.0,0.0
823,3300.0,6.2,1.0
824,3400.0,7.4,0.0
825,2950.0,6.2,0.1
826,0.0,7.1,0.0
827,0.0,6.8,0.0
828,0.0,6.3,0.0
829,0.0,7.1,0.0
830,0.0,6.2,0.0
831,0.0,6.2,0.0
832,0.0,7.1,0.0
833,0.0,6.4,0.0
834,0.0,6.9,0.0
835,0.0,6.4,0.0
836,0.0,6.8,0.0
837,0.0,6.5,0.0
838,0.0,6.5,0.0
839,0.0,6.5,0.0
840,0.0,6.5,0.0
841,0.0,6.2,0.0
842,0.0,6.2,0.0
843,0.0,6.2,0.0
844,0.0,6.2,0.0
845,0.0,0.0,0.0
846,0.0,0.0,0.0
847,210.0,0.0,0.0
848,190.0,0.0,0.0
849,200.0,0.0,0.0
850,0.0,0.0,0.0
851,0.0,0.0,0.0
852,0.0,0.0,0.0
853,340.0,0.0,0.0
854,330.0,0.0,0.0
855,300.0,0.0,0.0
856,280.0,0.0,0.0
857,450.0,7.5,1.0
858,510.0,8.1,1.0
859,350.0,5.1,1.0
860,430.0,6.0,1.0
861,130.0,11.0,1.57
862,175.0,9.6,1.5
863,120.0,9.5,0.75
864,115.0,9.4,1.5
865,210.0,10.9,3.0
866,190.0,10.4,2.5
867,240.0,9.6,1.5
868,210.0,11.3,1.57
869,200.0,9.5,3.71
870,170.0,10.8,5.0
871,185.0,12.0,3.75
872,80.0,8.0,5.6
873,110.0,9.8,5.0
874,145.0,9.9,6.6
875,150.0,8.1,6.6
876,121.0,6.3,7.0
877,83.0,7.0,5.0
878,150.0,9.1,6.5
879,2250.0,7.1,7.0
880,2300.0,4.8,7.0
881,2450.0,4.7,7.67
882,40.0,7.2,7.0
883,60.0,4.9,8.75
884,60.0,6.5,8.33
885,64.0,7.7,6.5
886,108.0,5.2,5.5
887,63.0,7.9,0.5
888,48.0,5.6,0.57
889,12.0,6.6,0.25
890,0.0,8.98,12.0
891,0.0,4.94,11.17
892,240.0,8.53,12.0
893,420.0,7.07,12.0
894,510.0,10.37,12.4
895,240.0,8.08,12.17
896,40.0,7.29,12.17
897,350.0,5.39,12.0
898,410.0,6.72,12.17
899,230.0,11.96,13.6
900,130.0,8.64,14.67
901,190.0,9.73,14.75
902,160.0,12.22,14.29
903,200.0,8.96,15.33
904,250.0,12.36,15.25
905,150.0,11.77,15.29
906,290.0,9.64,15.33
907,160.0,10.99,16.33
908,400.0,9.54,16.67
909,60.0,9.27,16.17
910,270.0,9.31,17.14
911,70.0,11.7,16.14
912,240.0,10.84,17.25
913,220.0,7.13,18.17
914,230.0,11.51,18.2
915,210.0,10.07,18.17
916,240.0,9.29,18.29
917,260.0,9.94,19.29
918,240.0,7.36,19.14
919,90.0,5.27,20.14
920,85.0,8.45,20.33
921,105.0,5.71,21.33
922,110.0,10.85,20.5
923,140.0,8.78,20.29
924,195.0,4.79,21.33
925,180.0,8.52,22.0
926,135.0,8.38,21.33
927,290.0,9.42,23.17
928,190.0,6.79,22.3
929,300.0,10.41,23.33
930,390.0,6.11,24.17
931,270.0,11.22,24.33
932,200.0,8.79,25.5
933,260.0,9.47,26.67
934,230.0,9.58,25.67
935,255.0,9.35,26.33
936,0.0,0.0,0.0
937,245.0,7.94,27.4
938,230.0,7.67,26.33
939,180.0,5.28,29.2
940,60.0,4.21,0.0
941,50.0,6.55,0.0
942,1930.0,13.47,3.75
943,1930.0,13.5,3.75
944,2110.0,13.9,4.29
945,2190.0,9.7,4.14
946,270.0,13.5,5.0
947,254.0,10.4,5.1
948,258.0,14.0,5.0
949,276.0,15.2,5.0
950,210.0,11.1,6.0
951,235.0,10.7,6.0
952,245.0,13.5,6.0
953,257.0,15.7,6.0
954,250.0,9.9,6.67
955,260.0,12.9,7.0
956,272.0,11.9,7.0
957,240.0,10.7,8.0
958,225.0,15.4,7.0
959,200.0,11.1,7.17
960,250.0,11.3,8.29
961,290.0,11.3,7.33
962,222.0,12.3,8.0
963,252.0,8.4,9.14
964,258.0,14.0,8.08
965,230.0,10.6,8.43
966,280.0,12.3,8.43
967,183.0,11.1,10.0
968,248.0,13.0,9.0
969,244.0,12.9,10.17
970,256.0,13.7,9.13
971,180.0,12.6,9.57
972,256.0,11.8,10.17
973,245.0,13.8,11.14
974,250.0,11.0,10.2
975,173.0,15.7,10.29
976,208.0,10.5,12.14
977,210.0,13.3,10.6
978,165.0,9.2,11.17
979,257.0,13.5,11.5
980,234.0,15.3,12.33
981,245.0,12.0,11.17
982,193.0,14.6,11.67
983,206.0,13.7,12.38
984,227.0,12.2,13.0
985,185.0,11.2,12.29
986,173.0,13.7,13.0
987,195.0,13.0,14.0
988,180.0,13.5,12.67
989,160.0,13.9,13.2
990,262.0,12.2,14.33
991,249.0,14.0,15.33
992,255.0,12.2,14.0
993,190.0,13.4,14.11
