Sample_no,시설ID,일,주차,내부CO2,내부습도,내부온도,지온,강우감지,일사량,외부온도,외부풍향,외부풍속,지습,급액횟수,급액EC(dS/m),급액pH,급액량(회당),품종,재배형태
4,farm25,20220401,31주차,471.375,80.15375,17.8341667,0.0,,2341,10.875,172.5,0.125,0.0,14,2.69,5.24,93,tomato09,
4,farm25,20220402,31주차,486.875,80.19375,18.4575,0.0,,2238,13.625,157.5,0.0,0.0,14,2.67,5.01,91,tomato09,
4,farm25,20220403,31주차,500.0416667,82.24875,19.555,0.0,,2320,14.9166667,172.5,0.0833333,0.0,15,2.67,4.58,99,tomato09,
4,farm25,20220404,31주차,515.3333333,87.6808333,19.5270833,0.0,,1556,15.7083333,202.5,0.0833333,0.0,13,2.75,5.67,91,tomato09,
4,farm25,20220405,31주차,514.2083333,87.0833333,21.3466667,0.0,,2170,18.125,172.5,0.6666667,0.0,15,2.67,5.31,91,tomato09,
5,farm25,20220330,31주차,484.9583333,80.5270833,18.0704167,0.0,,2218,11.2916667,232.5,0.0833333,0.0,15,2.66,4.71,91,tomato09,
5,farm25,20220331,31주차,487.5,82.2779167,17.8195833,0.0,,1887,11.2916667,210.0,0.0,0.0,14,2.7,5.03,96,tomato09,
5,farm25,20220401,31주차,471.375,80.15375,17.8341667,0.0,,2341,10.875,172.5,0.125,0.0,14,2.69,5.24,93,tomato09,
5,farm25,20220402,31주차,486.875,80.19375,18.4575,0.0,,2238,13.625,157.5,0.0,0.0,14,2.67,5.01,91,tomato09,
5,farm25,20220403,31주차,500.0416667,82.24875,19.555,0.0,,2320,14.9166667,172.5,0.0833333,0.0,15,2.67,4.58,99,tomato09,
5,farm25,20220404,31주차,515.3333333,87.6808333,19.5270833,0.0,,1556,15.7083333,202.5,0.0833333,0.0,13,2.75,5.67,91,tomato09,
5,farm25,20220405,31주차,514.2083333,87.0833333,21.3466667,0.0,,2170,18.125,172.5,0.6666667,0.0,15,2.67,5.31,91,tomato09,
6,farm25,20220330,31주차,484.9583333,80.5270833,18.0704167,0.0,,2218,11.2916667,232.5,0.0833333,0.0,15,2.66,4.71,91,tomato09,
6,farm25,20220331,31주차,487.5,82.2779167,17.8195833,0.0,,1887,11.2916667,210.0,0.0,0.0,14,2.7,5.03,96,tomato09,
6,farm25,20220401,31주차,471.375,80.15375,17.8341667,0.0,,2341,10.875,172.5,0.125,0.0,14,2.69,5.24,93,tomato09,
6,farm25,20220402,31주차,486.875,80.19375,18.4575,0.0,,2238,13.625,157.5,0.0,0.0,14,2.67,5.01,91,tomato09,
6,farm25,20220403,31주차,500.0416667,82.24875,19.555,0.0,,2320,14.9166667,172.5,0.0833333,0.0,15,2.67,4.58,99,tomato09,
6,farm25,20220404,31주차,515.3333333,87.6808333,19.5270833,0.0,,1556,15.7083333,202.5,0.0833333,0.0,13,2.75,5.67,91,tomato09,
6,farm25,20220405,31주차,514.2083333,87.0833333,21.3466667,0.0,,2170,18.125,172.5,0.6666667,0.0,15,2.67,5.31,91,tomato09,
7,farm25,20220330,31주차,484.9583333,80.5270833,18.0704167,0.0,,2218,11.2916667,232.5,0.0833333,0.0,15,2.66,4.71,91,tomato09,
7,farm25,20220331,31주차,487.5,82.2779167,17.8195833,0.0,,1887,11.2916667,210.0,0.0,0.0,14,2.7,5.03,96,tomato09,
7,farm25,20220401,31주차,471.375,80.15375,17.8341667,0.0,,2341,10.875,172.5,0.125,0.0,14,2.69,5.24,93,tomato09,
7,farm25,20220402,31주차,486.875,80.19375,18.4575,0.0,,2238,13.625,157.5,0.0,0.0,14,2.67,5.01,91,tomato09,
7,farm25,20220403,31주차,500.0416667,82.24875,19.555,0.0,,2320,14.9166667,172.5,0.0833333,0.0,15,2.67,4.58,99,tomato09,
7,farm25,20220404,31주차,515.3333333,87.6808333,19.5270833,0.0,,1556,15.7083333,202.5,0.0833333,0.0,13,2.75,5.67,91,tomato09,
7,farm25,20220405,31주차,514.2083333,87.0833333,21.3466667,0.0,,2170,18.125,172.5,0.6666667,0.0,15,2.67,5.31,91,tomato09,
8,farm25,20220406,32주차,504.875,93.5004167,18.3754167,0.0,,365,14.2916667,165.0,0.2916667,0.0,8,2.65,5.75,93,tomato09,
8,farm25,20220412,32주차,478.0833333,80.9029167,18.98625,0.0,,2134,13.625,217.5,0.125,0.0,14,2.65,5.32,90,tomato09,
10,farm25,20220406,32주차,504.875,93.5004167,18.3754167,0.0,,365,14.2916667,165.0,0.2916667,0.0,8,2.65,5.75,93,tomato09,
10,farm25,20220412,32주차,478.0833333,80.9029167,18.98625,0.0,,2134,13.625,217.5,0.125,0.0,14,2.65,5.32,90,tomato09,
11,farm25,20220406,32주차,504.875,93.5004167,18.3754167,0.0,,365,14.2916667,165.0,0.2916667,0.0,8,2.65,5.75,93,tomato09,
11,farm25,20220412,32주차,478.0833333,80.9029167,18.98625,0.0,,2134,13.625,217.5,0.125,0.0,14,2.65,5.32,90,tomato09,
13,farm33,20170305,30주차,424.5258333,83.8095833,20.23875,19.5316667,,1538,9.3008333,163.5095833,0.89375,,14,2.83,5.6,87,tomato02,
13,farm33,20170306,30주차,391.4383333,83.6133333,20.5966667,19.9433333,,1481,10.7991667,232.0708333,1.1945833,,13,2.82,5.71,97,tomato02,
13,farm33,20170307,30주차,394.7583333,85.0275,20.4608333,20.0404167,,1478,10.1616667,173.92625,1.0754167,,15,2.83,5.59,92,tomato02,
13,farm33,20170308,30주차,424.7966667,82.4375,20.2095833,19.5995833,,1698,6.8575,183.54875,0.9966667,,13,2.68,5.26,93,tomato02,
13,farm33,20170309,30주차,409.0691667,84.8108333,19.2066667,18.89875,,1236,7.4404167,172.5008333,1.0579167,,11,2.82,5.72,93,tomato02,
13,farm33,20170310,30주차,405.8041667,83.6258333,19.6683333,18.83625,,1654,8.3445833,203.8629167,1.0808333,,13,2.65,4.66,86,tomato02,
13,farm33,20170311,30주차,447.67125,87.9516667,19.9,19.1329167,,1099,8.0841667,203.3245833,1.0554167,,9,2.69,5.63,90,tomato02,
14,farm33,20170305,30주차,424.5258333,83.8095833,20.23875,19.5316667,,1538,9.3008333,163.5095833,0.89375,,14,2.83,5.6,87,tomato02,
14,farm33,20170306,30주차,391.4383333,83.6133333,20.5966667,19.9433333,,1481,10.7991667,232.0708333,1.1945833,,13,2.82,5.71,97,tomato02,
14,farm33,20170307,30주차,394.7583333,85.0275,20.4608333,20.0404167,,1478,10.1616667,173.92625,1.0754167,,15,2.83,5.59,92,tomato02,
14,farm33,20170308,30주차,424.7966667,82.4375,20.2095833,19.5995833,,1698,6.8575,183.54875,0.9966667,,13,2.68,5.26,93,tomato02,
14,farm33,20170309,30주차,409.0691667,84.8108333,19.2066667,18.89875,,1236,7.4404167,172.5008333,1.0579167,,11,2.82,5.72,93,tomato02,
14,farm33,20170310,30주차,405.8041667,83.6258333,19.6683333,18.83625,,1654,8.3445833,203.8629167,1.0808333,,13,2.65,4.66,86,tomato02,
14,farm33,20170311,30주차,447.67125,87.9516667,19.9,19.1329167,,1099,8.0841667,203.3245833,1.0554167,,9,2.69,5.63,90,tomato02,
15,farm33,20170305,30주차,424.5258333,83.8095833,20.23875,19.5316667,,1538,9.3008333,163.5095833,0.89375,,14,2.83,5.6,87,tomato02,
15,farm33,20170306,30주차,391.4383333,83.6133333,20.5966667,19.9433333,,1481,10.7991667,232.0708333,1.1945833,,13,2.82,5.71,97,tomato02,
15,farm33,20170307,30주차,394.7583333,85.0275,20.4608333,20.0404167,,1478,10.1616667,173.92625,1.0754167,,15,2.83,5.59,92,tomato02,
15,farm33,20170308,30주차,424.7966667,82.4375,20.2095833,19.5995833,,1698,6.8575,183.54875,0.9966667,,13,2.68,5.26,93,tomato02,
15,farm33,20170309,30주차,409.0691667,84.8108333,19.2066667,18.89875,,1236,7.4404167,172.5008333,1.0579167,,11,2.82,5.72,93,tomato02,
15,farm33,20170310,30주차,405.8041667,83.6258333,19.6683333,18.83625,,1654,8.3445833,203.8629167,1.0808333,,13,2.65,4.66,86,tomato02,
15,farm33,20170311,30주차,447.67125,87.9516667,19.9,19.1329167,,1099,8.0841667,203.3245833,1.0554167,,9,2.69,5.63,90,tomato02,
16,farm33,20170312,31주차,428.01125,82.37625,20.3033333,19.7070833,,1626,9.8904167,193.9391667,1.0141667,,14,2.73,5.7,89,tomato02,
16,farm33,20170313,31주차,483.585,93.0041667,17.9241667,18.105,1.0,467,7.775,239.185,0.96,,10,2.67,5.69,99,tomato02,
16,farm33,20170314,31주차,428.3545833,85.6145833,20.595,19.4195833,1.0,1489,10.5079167,247.1358333,1.1954167,,14,2.78,5.75,89,tomato02,
16,farm33,20170315,31주차,430.9491667,87.575,20.3354167,19.7104167,,1303,7.5708333,220.91,0.9725,,11,2.75,5.69,90,tomato02,
16,farm33,20170316,31주차,423.6766667,86.4758333,20.0741667,19.6991667,,1284,11.22875,223.0229167,1.0979167,,11,2.76,5.6,90,tomato02,
16,farm33,20170317,31주차,447.3079167,89.6341667,20.24,19.7095833,,928,9.9070833,145.3916667,1.19125,,9,2.66,5.64,94,tomato02,
16,farm33,20170318,31주차,479.3066667,92.50875,17.48625,17.7658333,1.0,448,8.0366667,191.1620833,0.92,,9,2.68,5.68,98,tomato02,
17,farm33,20170312,31주차,428.01125,82.37625,20.3033333,19.7070833,,1626,9.8904167,193.9391667,1.0141667,,14,2.73,5.7,89,tomato02,
17,farm33,20170313,31주차,483.585,93.0041667,17.9241667,18.105,1.0,467,7.775,239.185,0.96,,10,2.67,5.69,99,tomato02,
17,farm33,20170314,31주차,428.3545833,85.6145833,20.595,19.4195833,1.0,1489,10.5079167,247.1358333,1.1954167,,14,2.78,5.75,89,tomato02,
17,farm33,20170315,31주차,430.9491667,87.575,20.3354167,19.7104167,,1303,7.5708333,220.91,0.9725,,11,2.75,5.69,90,tomato02,
17,farm33,20170316,31주차,423.6766667,86.4758333,20.0741667,19.6991667,,1284,11.22875,223.0229167,1.0979167,,11,2.76,5.6,90,tomato02,
17,farm33,20170317,31주차,447.3079167,89.6341667,20.24,19.7095833,,928,9.9070833,145.3916667,1.19125,,9,2.66,5.64,94,tomato02,
17,farm33,20170318,31주차,479.3066667,92.50875,17.48625,17.7658333,1.0,448,8.0366667,191.1620833,0.92,,9,2.68,5.68,98,tomato02,
18,farm33,20170312,31주차,428.01125,82.37625,20.3033333,19.7070833,,1626,9.8904167,193.9391667,1.0141667,,14,2.73,5.7,89,tomato02,
18,farm33,20170313,31주차,483.585,93.0041667,17.9241667,18.105,1.0,467,7.775,239.185,0.96,,10,2.67,5.69,99,tomato02,
18,farm33,20170314,31주차,428.3545833,85.6145833,20.595,19.4195833,1.0,1489,10.5079167,247.1358333,1.1954167,,14,2.78,5.75,89,tomato02,
18,farm33,20170315,31주차,430.9491667,87.575,20.3354167,19.7104167,,1303,7.5708333,220.91,0.9725,,11,2.75,5.69,90,tomato02,
18,farm33,20170316,31주차,423.6766667,86.4758333,20.0741667,19.6991667,,1284,11.22875,223.0229167,1.0979167,,11,2.76,5.6,90,tomato02,
18,farm33,20170317,31주차,447.3079167,89.6341667,20.24,19.7095833,,928,9.9070833,145.3916667,1.19125,,9,2.66,5.64,94,tomato02,
18,farm33,20170318,31주차,479.3066667,92.50875,17.48625,17.7658333,1.0,448,8.0366667,191.1620833,0.92,,9,2.68,5.68,98,tomato02,
20,farm33,20170319,32주차,504.35375,89.7945833,18.6679167,17.95875,1.0,967,7.3233333,247.3920833,1.00625,,10,2.68,5.64,95,tomato02,
20,farm33,20170320,32주차,466.19625,87.5975,19.4358333,18.8025,1.0,1139,6.7875,306.6654167,1.1066667,,8,2.7,5.72,100,tomato02,
20,farm33,20170321,32주차,424.01,81.9745833,19.6170833,19.1125,1.0,1553,8.2658333,222.1858333,1.0779167,,13,2.74,5.61,98,tomato02,
20,farm33,20170322,32주차,473.9170833,91.37375,17.05,17.0954167,1.0,226,8.3916667,264.2508333,0.78,,10,2.7,5.63,97,tomato02,
20,farm33,20170323,32주차,422.0395833,77.32125,20.6908333,19.6125,,1721,12.1058333,226.76375,1.1675,,13,2.7,5.09,100,tomato02,
20,farm33,20170324,32주차,422.1441667,88.1158333,18.86375,18.7154167,1.0,596,11.1483333,95.7391667,1.13125,,10,2.66,5.66,97,tomato02,
20,farm33,20170325,32주차,423.4054167,85.0375,19.5791667,19.16125,1.0,904,9.5179167,238.7745833,1.0545833,,10,2.67,5.64,86,tomato02,
21,farm33,20170319,32주차,504.35375,89.7945833,18.6679167,17.95875,1.0,967,7.3233333,247.3920833,1.00625,,10,2.68,5.64,95,tomato02,
21,farm33,20170320,32주차,466.19625,87.5975,19.4358333,18.8025,1.0,1139,6.7875,306.6654167,1.1066667,,8,2.7,5.72,100,tomato02,
21,farm33,20170321,32주차,424.01,81.9745833,19.6170833,19.1125,1.0,1553,8.2658333,222.1858333,1.0779167,,13,2.74,5.61,98,tomato02,
21,farm33,20170322,32주차,473.9170833,91.37375,17.05,17.0954167,1.0,226,8.3916667,264.2508333,0.78,,10,2.7,5.63,97,tomato02,
21,farm33,20170323,32주차,422.0395833,77.32125,20.6908333,19.6125,,1721,12.1058333,226.76375,1.1675,,13,2.7,5.09,100,tomato02,
21,farm33,20170324,32주차,422.1441667,88.1158333,18.86375,18.7154167,1.0,596,11.1483333,95.7391667,1.13125,,10,2.66,5.66,97,tomato02,
21,farm33,20170325,32주차,423.4054167,85.0375,19.5791667,19.16125,1.0,904,9.5179167,238.7745833,1.0545833,,10,2.67,5.64,86,tomato02,
22,farm33,20170319,32주차,504.35375,89.7945833,18.6679167,17.95875,1.0,967,7.3233333,247.3920833,1.00625,,10,2.68,5.64,95,tomato02,
22,farm33,20170320,32주차,466.19625,87.5975,19.4358333,18.8025,1.0,1139,6.7875,306.6654167,1.1066667,,8,2.7,5.72,100,tomato02,
22,farm33,20170321,32주차,424.01,81.9745833,19.6170833,19.1125,1.0,1553,8.2658333,222.1858333,1.0779167,,13,2.74,5.61,98,tomato02,
22,farm33,20170322,32주차,473.9170833,91.37375,17.05,17.0954167,1.0,226,8.3916667,264.2508333,0.78,,10,2.7,5.63,97,tomato02,
22,farm33,20170323,32주차,422.0395833,77.32125,20.6908333,19.6125,,1721,12.1058333,226.76375,1.1675,,13,2.7,5.09,100,tomato02,
22,farm33,20170324,32주차,422.1441667,88.1158333,18.86375,18.7154167,1.0,596,11.1483333,95.7391667,1.13125,,10,2.66,5.66,97,tomato02,
22,farm33,20170325,32주차,423.4054167,85.0375,19.5791667,19.16125,1.0,904,9.5179167,238.7745833,1.0545833,,10,2.67,5.64,86,tomato02,
24,farm33,20170423,37주차,3.2233333,5.9991667,1.8358333,1.5795833,,0,2.3920833,2.6125,1.1845,,21,2.23,6.19,72,tomato02,
24,farm33,20170424,37주차,3.15,6.3229167,1.5704167,1.78875,,0,1.4483333,4.0808333,1.0225,,16,2.18,6.07,74,tomato02,
24,farm33,20170425,37주차,3.1854167,5.6533333,1.5445833,1.5708333,,0,2.5479167,3.8383333,1.0054545,,18,2.2,6.05,72,tomato02,
24,farm33,20170426,37주차,3.1725,5.6125,1.6775,1.545,,0,2.1558333,4.2295833,1.0186364,,18,2.28,5.99,78,tomato02,
24,farm33,20170427,37주차,3.23375,6.4291667,1.5883333,1.5325,1.0,0,2.11,3.54,1.0095652,,18,2.25,6.04,70,tomato02,
24,farm33,20170428,37주차,3.0,8.3541667,1.5275,1.6841667,1.0,0,1.3704167,4.2604167,1.004,,19,2.28,6.06,71,tomato02,
24,farm33,20170429,37주차,2.655,4.91875,1.5425,1.66,,0,1.4279167,2.6066667,1.04375,,18,2.22,6.05,76,tomato02,
25,farm33,20170423,37주차,3.2233333,5.9991667,1.8358333,1.5795833,,0,2.3920833,2.6125,1.1845,,21,2.23,6.19,72,tomato02,
25,farm33,20170424,37주차,3.15,6.3229167,1.5704167,1.78875,,0,1.4483333,4.0808333,1.0225,,16,2.18,6.07,74,tomato02,
25,farm33,20170425,37주차,3.1854167,5.6533333,1.5445833,1.5708333,,0,2.5479167,3.8383333,1.0054545,,18,2.2,6.05,72,tomato02,
25,farm33,20170426,37주차,3.1725,5.6125,1.6775,1.545,,0,2.1558333,4.2295833,1.0186364,,18,2.28,5.99,78,tomato02,
25,farm33,20170427,37주차,3.23375,6.4291667,1.5883333,1.5325,1.0,0,2.11,3.54,1.0095652,,18,2.25,6.04,70,tomato02,
25,farm33,20170428,37주차,3.0,8.3541667,1.5275,1.6841667,1.0,0,1.3704167,4.2604167,1.004,,19,2.28,6.06,71,tomato02,
25,farm33,20170429,37주차,2.655,4.91875,1.5425,1.66,,0,1.4279167,2.6066667,1.04375,,18,2.22,6.05,76,tomato02,
26,farm33,20170423,37주차,3.2233333,5.9991667,1.8358333,1.5795833,,0,2.3920833,2.6125,1.1845,,21,2.23,6.19,72,tomato02,
26,farm33,20170424,37주차,3.15,6.3229167,1.5704167,1.78875,,0,1.4483333,4.0808333,1.0225,,16,2.18,6.07,74,tomato02,
26,farm33,20170425,37주차,3.1854167,5.6533333,1.5445833,1.5708333,,0,2.5479167,3.8383333,1.0054545,,18,2.2,6.05,72,tomato02,
26,farm33,20170426,37주차,3.1725,5.6125,1.6775,1.545,,0,2.1558333,4.2295833,1.0186364,,18,2.28,5.99,78,tomato02,
26,farm33,20170427,37주차,3.23375,6.4291667,1.5883333,1.5325,1.0,0,2.11,3.54,1.0095652,,18,2.25,6.04,70,tomato02,
26,farm33,20170428,37주차,3.0,8.3541667,1.5275,1.6841667,1.0,0,1.3704167,4.2604167,1.004,,19,2.28,6.06,71,tomato02,
26,farm33,20170429,37주차,2.655,4.91875,1.5425,1.66,,0,1.4279167,2.6066667,1.04375,,18,2.22,6.05,76,tomato02,
32,farm33,20170507,39주차,2.7020833,4.7695833,1.6354167,1.6704167,,0,1.5575,2.63875,1.2847826,,16,2.24,6.05,75,tomato02,
32,farm33,20170508,39주차,2.72375,5.3654167,1.5133333,1.5591667,,0,2.1654167,2.93,1.2261905,,18,2.27,5.98,72,tomato02,
32,farm33,20170509,39주차,2.8079167,6.1141667,1.4670833,1.5533333,,0,1.3808333,2.7816667,1.02625,,20,2.26,6.0,70,tomato02,
32,farm33,20170512,39주차,2.99,5.6091667,1.9783333,1.6766667,,0,1.8108333,2.465,1.0208333,,21,2.23,6.19,78,tomato02,
32,farm33,20170513,39주차,2.9525,5.9008333,1.7808333,1.77375,,0,1.6033333,2.1370833,1.0243478,,19,2.29,6.08,78,tomato02,
33,farm33,20170507,39주차,2.7020833,4.7695833,1.6354167,1.6704167,,0,1.5575,2.63875,1.2847826,,16,2.24,6.05,75,tomato02,
33,farm33,20170508,39주차,2.72375,5.3654167,1.5133333,1.5591667,,0,2.1654167,2.93,1.2261905,,18,2.27,5.98,72,tomato02,
33,farm33,20170509,39주차,2.8079167,6.1141667,1.4670833,1.5533333,,0,1.3808333,2.7816667,1.02625,,20,2.26,6.0,70,tomato02,
33,farm33,20170512,39주차,2.99,5.6091667,1.9783333,1.6766667,,0,1.8108333,2.465,1.0208333,,21,2.23,6.19,78,tomato02,
33,farm33,20170513,39주차,2.9525,5.9008333,1.7808333,1.77375,,0,1.6033333,2.1370833,1.0243478,,19,2.29,6.08,78,tomato02,
34,farm33,20170507,39주차,2.7020833,4.7695833,1.6354167,1.6704167,,0,1.5575,2.63875,1.2847826,,16,2.24,6.05,75,tomato02,
34,farm33,20170508,39주차,2.72375,5.3654167,1.5133333,1.5591667,,0,2.1654167,2.93,1.2261905,,18,2.27,5.98,72,tomato02,
34,farm33,20170509,39주차,2.8079167,6.1141667,1.4670833,1.5533333,,0,1.3808333,2.7816667,1.02625,,20,2.26,6.0,70,tomato02,
34,farm33,20170512,39주차,2.99,5.6091667,1.9783333,1.6766667,,0,1.8108333,2.465,1.0208333,,21,2.23,6.19,78,tomato02,
34,farm33,20170513,39주차,2.9525,5.9008333,1.7808333,1.77375,,0,1.6033333,2.1370833,1.0243478,,19,2.29,6.08,78,tomato02,
35,farm33,20170507,39주차,2.7020833,4.7695833,1.6354167,1.6704167,,0,1.5575,2.63875,1.2847826,,16,2.24,6.05,75,tomato02,
35,farm33,20170508,39주차,2.72375,5.3654167,1.5133333,1.5591667,,0,2.1654167,2.93,1.2261905,,18,2.27,5.98,72,tomato02,
35,farm33,20170509,39주차,2.8079167,6.1141667,1.4670833,1.5533333,,0,1.3808333,2.7816667,1.02625,,20,2.26,6.0,70,tomato02,
35,farm33,20170512,39주차,2.99,5.6091667,1.9783333,1.6766667,,0,1.8108333,2.465,1.0208333,,21,2.23,6.19,78,tomato02,
35,farm33,20170513,39주차,2.9525,5.9008333,1.7808333,1.77375,,0,1.6033333,2.1370833,1.0243478,,19,2.29,6.08,78,tomato02,
36,farm14,20170305,30주차,394.6154167,70.8591667,21.6125,20.9520833,,1430,8.0870833,184.7526087,1.3609524,,11,2.73,5.49,99,,
36,farm14,20170306,30주차,397.66125,72.8691667,21.3275,21.0470833,,1323,9.6491667,183.8021739,1.575,,12,2.72,5.57,100,,
36,farm14,20170307,30주차,387.3641667,71.1879167,21.7195833,20.3965217,,1425,9.2258333,244.2658333,2.3627778,,11,2.71,5.58,94,,
36,farm14,20170308,30주차,402.93125,70.06125,21.71375,20.8541667,,1524,5.8841667,189.19375,1.5215,,11,2.69,5.71,79,,
36,farm14,20170309,30주차,408.6725,72.9904167,20.8466667,20.5029167,,1221,6.1958333,174.775,1.6988235,,9,2.72,4.4,92,,
36,farm14,20170310,30주차,404.8058333,69.4541667,21.0216667,20.44375,,1501,7.0208333,200.2558333,1.489,,12,2.71,5.62,81,,
36,farm14,20170311,30주차,415.2745833,73.42,20.1191667,20.0733333,,1008,7.1958333,209.5679167,1.5433333,,21,2.17,5.97,72,,
37,farm14,20170305,30주차,394.6154167,70.8591667,21.6125,20.9520833,,1430,8.0870833,184.7526087,1.3609524,,11,2.73,5.49,99,,
37,farm14,20170306,30주차,397.66125,72.8691667,21.3275,21.0470833,,1323,9.6491667,183.8021739,1.575,,12,2.72,5.57,100,,
37,farm14,20170307,30주차,387.3641667,71.1879167,21.7195833,20.3965217,,1425,9.2258333,244.2658333,2.3627778,,11,2.71,5.58,94,,
37,farm14,20170308,30주차,402.93125,70.06125,21.71375,20.8541667,,1524,5.8841667,189.19375,1.5215,,11,2.69,5.71,79,,
37,farm14,20170309,30주차,408.6725,72.9904167,20.8466667,20.5029167,,1221,6.1958333,174.775,1.6988235,,9,2.72,4.4,92,,
37,farm14,20170310,30주차,404.8058333,69.4541667,21.0216667,20.44375,,1501,7.0208333,200.2558333,1.489,,12,2.71,5.62,81,,
37,farm14,20170311,30주차,415.2745833,73.42,20.1191667,20.0733333,,1008,7.1958333,209.5679167,1.5433333,,21,2.17,5.97,72,,
38,farm14,20170305,30주차,394.6154167,70.8591667,21.6125,20.9520833,,1430,8.0870833,184.7526087,1.3609524,,11,2.73,5.49,99,,
38,farm14,20170306,30주차,397.66125,72.8691667,21.3275,21.0470833,,1323,9.6491667,183.8021739,1.575,,12,2.72,5.57,100,,
38,farm14,20170307,30주차,387.3641667,71.1879167,21.7195833,20.3965217,,1425,9.2258333,244.2658333,2.3627778,,11,2.71,5.58,94,,
38,farm14,20170308,30주차,402.93125,70.06125,21.71375,20.8541667,,1524,5.8841667,189.19375,1.5215,,11,2.69,5.71,79,,
38,farm14,20170309,30주차,408.6725,72.9904167,20.8466667,20.5029167,,1221,6.1958333,174.775,1.6988235,,9,2.72,4.4,92,,
38,farm14,20170310,30주차,404.8058333,69.4541667,21.0216667,20.44375,,1501,7.0208333,200.2558333,1.489,,12,2.71,5.62,81,,
38,farm14,20170311,30주차,415.2745833,73.42,20.1191667,20.0733333,,1008,7.1958333,209.5679167,1.5433333,,21,2.17,5.97,72,,
