Sample_no,조사일,주차,생장길이,줄기직경,개화군
106,20191126,16주차,34.0,8.8,7.2
108,20191203,17주차,41.0,12.2,0.0
109,20191203,17주차,35.0,11.3,0.0
112,20191210,18주차,168.0,10.1,0.0
113,20191210,18주차,105.0,7.3,0.0
114,20191210,18주차,143.0,11.0,0.0
115,20191210,18주차,85.0,7.8,0.0
117,20191217,19주차,130.0,7.0,0.0
119,20191217,19주차,73.0,6.7,0.0
120,20191224,20주차,187.0,10.3,15.5
121,20191224,20주차,125.0,8.2,12.2
122,20191224,20주차,153.0,14.2,12.4
123,20191224,20주차,76.0,8.6,11.3
125,20191231,21주차,152.0,11.4,13.3
126,20191231,21주차,253.0,10.4,13.4
127,20191231,21주차,90.0,7.9,12.5
128,20170212,20주차,0.0,10.6,5.4
129,20170212,20주차,0.0,10.9,6.4
130,20170212,20주차,0.0,8.4,8.8
131,20170212,20주차,0.0,10.6,7.5
132,20170219,21주차,180.0,9.5,6.4
133,20170219,21주차,0.0,11.2,5.7
135,20170219,21주차,230.0,10.2,7.2
136,20170226,22주차,80.0,11.4,6.4
138,20170226,22주차,70.0,10.0,7.7
140,20170305,23주차,200.0,9.15,7.1
141,20170305,23주차,160.0,13.8,7.1
142,20170305,23주차,180.0,10.7,7.4
144,20170312,24주차,180.0,8.0,8.1
145,20170312,24주차,160.0,11.6,7.3
146,20170312,24주차,220.0,8.5,8.0
147,20170312,24주차,210.0,9.8,7.4
148,20170319,25주차,190.0,10.8,7.7
150,20170319,25주차,90.0,9.5,8.6
151,20170319,25주차,120.0,14.0,7.3
155,20170409,28주차,250.0,8.2,6.0
156,20170507,32주차,320.0,6.8,7.0
157,20170507,32주차,330.0,3.4,8.0
158,20170507,32주차,330.0,5.2,6.0
160,20170514,33주차,230.0,5.1,8.0
161,20170514,33주차,170.0,6.3,7.0
162,20170514,33주차,240.0,3.6,8.0
163,20170514,33주차,240.0,8.4,6.0
164,20170521,34주차,180.0,3.5,8.0
165,20170521,34주차,160.0,4.0,7.0
166,20170521,34주차,170.0,6.0,7.0
167,20170521,34주차,180.0,5.0,7.0
168,20170528,35주차,0.0,0.0,0.0
169,20170528,35주차,0.0,0.0,0.0
171,20170528,35주차,0.0,0.0,0.0
172,20171029,57주차,990.0,12.0,2.0
175,20171029,57주차,1080.0,11.0,2.0
177,20171105,58주차,220.0,12.0,3.0
178,20171105,58주차,220.0,12.0,3.0
179,20171105,58주차,270.0,9.0,4.0
180,20171112,59주차,120.0,11.0,4.0
181,20171112,59주차,120.0,11.0,4.0
182,20171112,59주차,110.0,11.0,4.0
183,20171112,59주차,110.0,13.0,3.0
184,20171119,60주차,60.0,9.0,5.0
186,20171119,60주차,60.0,9.0,5.0
187,20171119,60주차,70.0,7.0,5.0
188,20171126,61주차,80.0,8.0,6.0
192,20171203,62주차,30.0,11.0,6.0
194,20171203,62주차,60.0,9.0,5.0
195,20171203,62주차,70.0,9.0,6.0
196,20171210,63주차,40.0,9.0,7.0
197,20171210,63주차,100.0,10.0,7.0
199,20171210,63주차,110.0,8.0,7.0
200,20171217,64주차,70.0,10.0,7.0
202,20171217,64주차,60.0,12.0,7.0
205,20171224,65주차,60.0,7.0,8.0
206,20171224,65주차,40.0,12.0,8.0
208,20171231,66주차,60.0,12.0,7.0
209,20171231,66주차,60.0,11.0,8.0
210,20171231,66주차,40.0,9.0,8.0
211,20171231,66주차,50.0,10.0,8.0
212,20180204,71주차,40.0,12.0,8.0
213,20180204,71주차,70.0,12.0,8.0
214,20180204,71주차,90.0,12.0,7.0
215,20180204,71주차,60.0,14.0,8.0
217,20180211,72주차,40.0,12.0,9.0
218,20180211,72주차,90.0,10.0,8.0
219,20180211,72주차,140.0,14.0,7.0
220,20181014,3주차,600.0,11.0,0.4
221,20181014,3주차,620.0,11.0,0.4
222,20181014,3주차,600.0,10.5,0.2
224,20181015,3주차,600.0,11.0,0.4
226,20181015,3주차,600.0,10.5,0.2
227,20181015,3주차,600.0,11.0,0.4
229,20181022,4주차,200.0,13.0,0.4
230,20181022,4주차,210.0,12.0,0.6
233,20181029,5주차,230.0,11.0,0.8
234,20181029,5주차,230.0,12.0,0.4
235,20181029,5주차,220.0,12.0,0.4
236,20181105,6주차,220.0,12.5,0.6
237,20181105,6주차,210.0,11.0,0.4
239,20181105,6주차,230.0,14.0,0.2
240,20181112,7주차,200.0,12.0,0.8
242,20181112,7주차,230.0,10.0,0.6
243,20181112,7주차,220.0,9.0,0.4
245,20181119,8주차,200.0,11.0,3.83
246,20181119,8주차,210.0,11.0,3.43
248,20181126,9주차,280.0,11.0,2.0
251,20181126,9주차,270.0,12.0,2.0
252,20181203,10주차,170.0,10.0,3.0
253,20181203,10주차,150.0,8.0,3.6
254,20181203,10주차,170.0,8.0,4.0
255,20181203,10주차,160.0,11.0,3.75
257,20181210,11주차,0.0,9.0,4.33
260,20181217,12주차,0.0,10.0,2.75
262,20181217,12주차,0.0,10.0,3.75
263,20181217,12주차,0.0,11.0,4.4
265,20210207,7주차,80.0,10.0,2.6
266,20210207,7주차,130.0,10.0,2.8
271,20210215,8주차,160.0,10.0,3.2
272,20210222,9주차,200.0,11.0,3.2
273,20210222,9주차,180.0,10.0,3.4
274,20210222,9주차,180.0,10.0,2.8
276,20210301,10주차,70.0,13.0,2.8
278,20210301,10주차,80.0,13.0,3.6
279,20210301,10주차,180.0,13.0,3.8
280,20210308,11주차,170.0,13.0,2.8
281,20210308,11주차,110.0,13.0,3.2
282,20210308,11주차,70.0,13.0,3.2
283,20210308,11주차,140.0,13.0,2.8
284,20210315,12주차,120.0,14.0,3.4
285,20210315,12주차,70.0,13.0,3.6
286,20210315,12주차,160.0,14.0,3.8
288,20210322,13주차,180.0,14.0,3.6
291,20210322,13주차,300.0,14.0,3.6
292,20210329,14주차,150.0,14.0,3.8
293,20210329,14주차,180.0,14.0,3.6
294,20210329,14주차,180.0,14.0,3.8
295,20210329,14주차,120.0,14.0,3.4
296,20210405,15주차,150.0,15.0,3.2
297,20210405,15주차,160.0,15.0,3.2
298,20210405,15주차,150.0,16.0,3.8
299,20210405,15주차,160.0,15.0,2.6
300,20210411,16주차,150.0,17.0,3.8
301,20210411,16주차,140.0,17.0,3.8
302,20210411,16주차,150.0,17.0,4.2
303,20210411,16주차,160.0,17.0,4.2
304,20210426,18주차,110.0,17.0,3.8
305,20210426,18주차,100.0,17.0,3.8
306,20210426,18주차,100.0,17.0,4.2
307,20210426,18주차,120.0,17.0,4.4
308,20210510,20주차,100.0,17.0,3.2
309,20210510,20주차,110.0,17.0,2.8
311,20210510,20주차,100.0,17.0,3.2
312,20211210,1주차,0.0,13.48,1.15
313,20211210,1주차,880.0,13.51,1.0
314,20211210,1주차,930.0,11.31,1.0
315,20211210,1주차,950.0,10.61,1.5
316,20211223,3주차,230.0,15.11,2.5
317,20211223,3주차,50.0,11.98,2.15
318,20211223,3주차,65.0,13.21,1.85
319,20211223,3주차,93.0,14.25,2.5
323,20170312,28주차,0.0,5.67,4.7
324,20170319,29주차,495.0,8.89,5.0
325,20170319,29주차,607.0,8.38,3.0
326,20170319,29주차,376.0,8.91,5.7
327,20170319,29주차,447.0,8.66,3.7
328,20170326,30주차,270.0,7.14,7.7
331,20170326,30주차,210.0,7.97,6.3
332,20170402,31주차,50.0,6.62,2.0
333,20170402,31주차,10.0,9.5,1.0
335,20170402,31주차,50.0,6.76,1.0
337,20170409,32주차,45.0,8.21,7.0
338,20170409,32주차,80.0,8.04,6.0
339,20170409,32주차,30.0,7.46,7.0
340,20170416,33주차,0.0,10.43,5.0
342,20170416,33주차,45.0,8.56,5.0
343,20170416,33주차,55.0,8.3,6.0
344,20170423,34주차,130.0,5.5,1.0
346,20170423,34주차,170.0,5.9,1.0
348,20170430,35주차,190.0,6.76,1.0
349,20170430,35주차,130.0,8.4,1.0
350,20170430,35주차,130.0,8.65,1.0
351,20170430,35주차,240.0,6.86,1.0
352,20170507,36주차,190.0,6.12,2.0
353,20170507,36주차,170.0,7.23,1.6
357,20170910,4주차,1000.0,10.67,1.0
358,20170910,4주차,930.0,9.93,1.0
359,20170910,4주차,840.0,9.27,1.0
360,20171001,7주차,560.0,8.4,2.6
362,20171001,7주차,550.0,7.86,2.0
364,20171008,8주차,240.0,8.72,2.0
366,20171008,8주차,200.0,8.66,1.0
369,20171015,9주차,190.0,8.36,1.0
370,20171015,9주차,80.0,7.34,1.3
373,20171022,10주차,60.0,6.76,0.8
374,20171022,10주차,80.0,6.8,1.0
375,20171022,10주차,100.0,6.49,0.0
376,20171029,11주차,140.0,7.02,1.0
377,20171029,11주차,160.0,8.37,1.2
378,20171029,11주차,180.0,7.12,1.0
379,20171029,11주차,220.0,8.72,1.0
380,20171105,12주차,80.0,6.78,1.0
381,20171105,12주차,90.0,7.2,1.0
383,20171105,12주차,40.0,6.2,1.0
384,20171112,13주차,50.0,6.71,1.0
385,20171112,13주차,40.0,5.75,1.0
386,20171112,13주차,70.0,6.37,1.0
387,20171112,13주차,60.0,6.42,2.0
388,20171119,14주차,80.0,6.36,1.4
389,20171119,14주차,77.0,5.4,1.2
390,20171119,14주차,70.0,4.92,1.4
392,20171126,15주차,90.0,4.86,2.0
393,20171126,15주차,80.0,5.77,2.0
394,20171126,15주차,70.0,5.56,1.2
395,20171126,15주차,67.0,4.84,1.8
397,20171203,16주차,80.0,6.03,1.4
398,20171203,16주차,40.0,6.66,2.0
400,20171210,17주차,70.0,5.49,2.0
403,20171210,17주차,50.0,4.05,2.2
404,20171217,18주차,30.0,5.95,1.4
405,20171217,18주차,50.0,6.64,1.0
406,20171217,18주차,34.0,6.31,2.0
407,20171217,18주차,28.0,5.65,1.6
411,20171224,19주차,10.0,5.06,2.0
413,20171224,19주차,14.0,5.88,2.0
416,20171231,20주차,70.0,6.35,1.2
419,20171231,20주차,40.0,5.42,1.2
421,20180107,21주차,40.0,8.72,2.0
422,20180107,21주차,27.0,7.78,2.0
423,20180107,21주차,36.0,8.54,1.2
424,20180114,22주차,90.0,8.26,1.6
425,20180114,22주차,70.0,8.43,1.2
426,20180114,22주차,80.0,8.55,2.0
428,20180121,23주차,60.0,9.11,2.0
429,20180121,23주차,100.0,9.66,1.0
432,20180128,24주차,110.0,9.16,1.0
433,20180128,24주차,80.0,8.94,1.0
434,20180128,24주차,80.0,9.95,1.0
435,20180128,24주차,77.0,10.69,1.0
436,20180204,25주차,100.0,9.34,2.0
438,20180204,25주차,60.0,9.05,1.5
439,20180204,25주차,70.0,9.08,1.0
440,20180211,26주차,30.0,10.86,1.0
441,20180211,26주차,47.0,7.96,2.0
442,20180211,26주차,80.0,10.41,1.0
443,20180211,26주차,60.0,8.84,1.0
444,20180218,27주차,110.0,10.35,1.0
445,20180218,27주차,140.0,9.37,1.0
446,20180218,27주차,110.0,10.59,1.0
447,20180218,27주차,117.0,10.05,1.0
448,20180225,28주차,140.0,10.35,1.0
449,20180225,28주차,150.0,8.77,1.0
450,20180225,28주차,130.0,7.26,2.0
452,20181007,2주차,200.0,6.1,0.0
453,20181007,2주차,170.0,9.0,0.0
455,20181007,2주차,190.0,6.1,0.0
457,20181008,3주차,170.0,9.0,0.0
458,20181008,3주차,190.0,5.5,0.0
459,20181008,3주차,190.0,6.1,0.0
460,20181015,4주차,180.0,5.4,0.0
461,20181015,4주차,130.0,5.7,0.0
462,20181015,4주차,180.0,5.4,0.0
464,20181022,5주차,220.0,6.1,0.0
465,20181022,5주차,320.0,6.0,0.0
466,20181022,5주차,280.0,6.2,0.0
468,20181029,6주차,320.0,10.4,1.0
469,20181029,6주차,300.0,10.0,1.0
470,20181029,6주차,320.0,10.1,1.0
471,20181029,6주차,310.0,11.3,1.0
472,20181105,7주차,380.0,12.4,1.0
473,20181105,7주차,380.0,11.5,1.0
474,20181105,7주차,430.0,12.6,1.0
475,20181105,7주차,380.0,10.6,1.0
476,20181112,8주차,260.0,11.6,0.64
477,20181112,8주차,230.0,9.5,0.56
479,20181112,8주차,250.0,10.3,0.71
480,20181119,9주차,260.0,10.9,0.38
481,20181119,9주차,255.0,10.0,0.38
482,20181119,9주차,225.0,13.1,0.59
483,20181119,9주차,240.0,12.5,0.55
484,20181126,10주차,265.0,9.7,1.5
485,20181126,10주차,305.0,10.1,2.83
486,20181126,10주차,270.0,10.5,1.61
488,20181203,11주차,250.0,10.5,1.55
489,20181203,11주차,230.0,10.1,2.78
490,20181203,11주차,230.0,11.1,1.46
492,20181210,12주차,185.0,8.1,1.54
493,20181210,12주차,180.0,9.0,2.79
494,20181210,12주차,210.0,8.9,1.36
495,20181210,12주차,190.0,8.6,1.41
498,20181217,13주차,230.0,6.4,3.58
499,20181217,13주차,225.0,9.7,2.38
500,20181224,14주차,210.0,7.5,4.73
501,20181224,14주차,205.0,7.7,4.7
502,20181224,14주차,200.0,7.3,4.67
503,20181224,14주차,230.0,8.4,4.77
504,20181231,15주차,135.0,7.4,4.79
505,20181231,15주차,140.0,7.4,4.77
506,20181231,15주차,150.0,7.2,4.62
508,20190107,16주차,130.0,8.1,4.65
509,20190107,16주차,185.0,8.0,4.67
510,20190107,16주차,170.0,7.6,4.25
511,20190107,16주차,220.0,7.8,5.35
512,20190114,17주차,0.0,6.6,7.0
513,20190114,17주차,0.0,7.8,5.7
516,20190121,18주차,30.0,7.0,6.85
517,20190121,18주차,40.0,8.4,6.88
518,20190121,18주차,50.0,7.8,6.5
519,20190121,18주차,20.0,7.2,6.73
520,20190204,20주차,195.0,9.0,6.43
521,20190204,20주차,225.0,7.5,6.56
522,20190204,20주차,205.0,7.0,7.71
523,20190204,20주차,235.0,8.4,8.9
524,20190211,21주차,130.0,6.2,7.38
526,20190211,21주차,200.0,7.5,9.0
527,20190211,21주차,215.0,7.9,7.45
528,20190218,22주차,130.0,7.6,9.0
529,20190218,22주차,140.0,8.8,8.71
530,20190218,22주차,205.0,7.7,8.71
531,20190218,22주차,215.0,8.1,8.35
532,20190225,23주차,150.0,8.1,8.75
534,20190225,23주차,210.0,8.7,8.6
535,20190225,23주차,195.0,8.6,9.6
537,20190304,24주차,220.0,9.5,8.55
538,20190304,24주차,230.0,9.1,9.63
539,20190304,24주차,130.0,7.8,9.43
540,20190311,25주차,186.0,10.1,9.64
541,20190311,25주차,180.0,10.2,9.38
543,20190311,25주차,242.0,7.9,10.45
544,20190318,26주차,200.0,8.5,10.63
545,20190318,26주차,201.0,8.0,10.54
547,20190318,26주차,172.0,7.5,11.67
548,20190325,27주차,198.0,6.9,11.67
549,20190325,27주차,230.0,10.8,11.5
550,20190325,27주차,212.0,9.0,11.5
551,20190325,27주차,205.0,6.5,12.83
553,20190401,28주차,203.0,9.7,12.73
554,20190401,28주차,260.0,8.4,12.7
555,20190401,28주차,224.0,5.2,13.43
556,20190408,29주차,197.0,9.6,12.73
557,20190408,29주차,243.0,8.3,13.8
558,20190408,29주차,212.0,7.7,13.86
560,20190415,30주차,247.0,8.1,13.6
561,20190415,30주차,236.0,7.3,13.47
562,20190415,30주차,211.0,5.3,13.42
563,20190415,30주차,217.0,7.1,14.6
566,20170312,16주차,0.0,9.81,14.0
567,20170312,16주차,0.0,8.34,11.3
568,20170319,17주차,358.0,7.46,8.0
570,20170319,17주차,381.0,8.57,8.0
573,20170326,18주차,89.0,9.79,26.7
574,20170326,18주차,263.0,5.64,41.0
576,20170430,23주차,150.0,3.63,2.4
577,20170430,23주차,170.0,4.55,2.0
578,20170430,23주차,80.0,7.76,2.2
579,20170430,23주차,60.0,9.74,2.8
580,20170226,22주차,0.0,9.5,5.4
581,20170226,22주차,0.0,9.4,6.4
582,20170226,22주차,0.0,10.0,4.7
583,20170226,22주차,0.0,12.45,5.4
584,20170305,23주차,180.0,10.5,6.1
586,20170305,23주차,220.0,11.65,6.7
590,20170312,24주차,200.0,11.4,5.3
591,20170312,24주차,180.0,9.9,7.0
594,20170319,25주차,200.0,11.9,6.3
595,20170319,25주차,180.0,9.0,8.3
597,20170326,26주차,160.0,8.4,5.7
598,20170326,26주차,190.0,9.5,5.7
600,20170402,27주차,230.0,9.0,5.7
601,20170402,27주차,200.0,4.8,6.7
602,20170402,27주차,250.0,9.2,7.0
604,20170409,28주차,210.0,105.0,6.0
605,20170409,28주차,220.0,10.9,6.0
606,20170409,28주차,230.0,9.0,6.0
607,20170409,28주차,220.0,10.4,6.7
608,20170416,29주차,250.0,11.8,6.3
609,20170416,29주차,260.0,12.0,4.3
611,20170416,29주차,240.0,11.7,7.3
613,20170423,30주차,160.0,8.5,6.0
614,20170423,30주차,140.0,9.2,6.3
615,20170423,30주차,120.0,11.0,7.7
616,20170430,31주차,220.0,8.5,7.0
617,20170430,31주차,210.0,3.5,6.0
618,20170430,31주차,170.0,9.2,6.0
619,20170430,31주차,200.0,8.0,6.0
620,20170507,32주차,230.0,6.7,7.0
621,20170507,32주차,310.0,10.0,7.0
622,20170507,32주차,300.0,7.3,7.0
623,20170507,32주차,200.0,10.6,7.0
624,20170514,33주차,220.0,3.5,7.0
625,20170514,33주차,180.0,8.0,7.0
626,20170514,33주차,180.0,5.1,7.0
627,20170514,33주차,220.0,6.8,7.0
630,20170521,34주차,0.0,0.0,0.0
631,20170521,34주차,0.0,0.0,0.0
632,20171029,57주차,1170.0,13.0,2.0
635,20171029,57주차,1030.0,14.0,2.0
637,20171105,58주차,180.0,13.0,3.0
638,20171105,58주차,240.0,13.0,3.0
640,20171112,59주차,140.0,10.0,4.0
641,20171112,59주차,150.0,12.0,4.0
643,20171112,59주차,180.0,12.0,4.0
644,20171119,60주차,110.0,13.0,4.0
647,20171119,60주차,110.0,12.0,5.0
649,20171126,61주차,70.0,13.0,4.0
653,20171203,62주차,30.0,11.0,6.0
655,20171203,62주차,50.0,11.0,6.0
656,20171210,63주차,50.0,7.0,7.0
657,20171210,63주차,30.0,10.0,8.0
659,20171210,63주차,130.0,10.0,7.0
661,20171217,64주차,70.0,7.0,8.0
662,20171217,64주차,100.0,10.0,8.0
663,20171217,64주차,110.0,11.0,8.0
664,20171224,65주차,90.0,8.0,8.0
665,20171224,65주차,50.0,10.0,9.0
666,20171224,65주차,90.0,8.0,9.0
667,20171224,65주차,60.0,9.0,9.0
668,20171231,66주차,100.0,11.0,8.0
669,20171231,66주차,50.0,10.0,8.0
670,20171231,66주차,20.0,11.0,8.0
672,20180107,67주차,60.0,9.0,8.0
675,20180107,67주차,80.0,12.0,9.0
676,20180114,68주차,50.0,11.0,8.0
677,20180114,68주차,80.0,10.0,8.0
678,20180114,68주차,80.0,11.0,8.0
679,20180114,68주차,70.0,10.0,9.0
680,20180121,69주차,70.0,11.0,8.0
681,20180121,69주차,30.0,12.0,8.0
682,20180121,69주차,40.0,11.0,8.0
684,20180128,70주차,30.0,9.0,9.0
685,20180128,70주차,50.0,11.0,8.0
686,20180128,70주차,40.0,10.0,9.0
687,20180128,70주차,40.0,12.0,9.0
688,20180204,71주차,30.0,13.0,8.0
692,20180211,72주차,80.0,12.0,8.0
693,20180211,72주차,80.0,14.0,9.0
694,20180211,72주차,90.0,9.0,10.0
695,20180211,72주차,110.0,12.0,8.0
696,20180218,73주차,80.0,11.0,8.0
697,20180218,73주차,40.0,8.0,10.0
698,20180218,73주차,50.0,8.0,10.0
699,20180218,73주차,50.0,11.0,9.0
700,20180225,74주차,50.0,6.0,9.0
701,20180225,74주차,20.0,11.0,10.0
702,20180225,74주차,30.0,13.0,9.0
703,20180225,74주차,30.0,13.0,9.0
704,20181014,2주차,480.0,9.5,0.2
706,20181014,2주차,500.0,10.0,0.2
707,20181014,2주차,600.0,11.0,0.6
708,20181015,2주차,480.0,9.5,0.2
709,20181015,2주차,520.0,15.5,0.4
710,20181015,2주차,500.0,10.0,0.2
711,20181015,2주차,600.0,11.0,0.6
714,20181022,3주차,330.0,14.2,0.6
716,20181029,4주차,290.0,13.0,0.2
717,20181029,4주차,280.0,12.2,0.6
718,20181029,4주차,350.0,11.8,0.4
719,20181029,4주차,310.0,12.0,0.6
720,20181105,5주차,150.0,11.0,0.8
721,20181105,5주차,210.0,10.0,0.8
724,20181112,6주차,280.0,12.0,0.2
726,20181112,6주차,250.0,13.0,0.4
731,20181119,7주차,220.0,12.0,4.75
733,20181126,8주차,180.0,7.0,1.6
734,20181126,8주차,170.0,8.0,2.0
736,20181203,9주차,150.0,10.0,4.33
737,20181203,9주차,100.0,11.0,3.8
738,20181203,9주차,90.0,9.0,2.57
739,20181203,9주차,140.0,11.0,5.0
740,20181210,10주차,160.0,11.0,3.4
742,20181210,10주차,150.0,10.0,4.5
743,20181210,10주차,140.0,12.0,4.6
745,20181217,11주차,120.0,10.0,3.25
746,20181217,11주차,170.0,11.0,0.67
747,20181217,11주차,160.0,11.0,0.5
748,20210106,15주차,126.0,8.9,6.25
749,20210106,15주차,142.0,6.9,7.2
751,20210106,15주차,132.0,9.2,6.5
752,20210203,19주차,225.0,6.5,11.2
753,20210203,19주차,174.0,6.2,10.6
754,20210203,19주차,185.0,6.4,10.2
756,20210210,20주차,231.0,10.2,11.5
758,20210210,20주차,220.0,10.6,11.6
759,20210210,20주차,213.0,6.1,11.2
760,20210303,23주차,177.0,9.2,13.8
761,20210303,23주차,174.0,8.9,11.8
762,20210303,23주차,137.0,7.5,12.6
763,20210303,23주차,212.0,9.9,12.8
764,20210324,26주차,172.0,6.8,15.5
765,20210324,26주차,242.0,6.2,14.2
766,20210324,26주차,203.0,7.1,14.5
767,20210324,26주차,218.0,7.3,15.0
768,20210407,28주차,199.0,3.7,17.2
769,20210407,28주차,165.0,6.7,15.6
770,20210407,28주차,140.0,6.5,16.0
771,20210407,28주차,191.0,5.5,16.5
772,20210414,29주차,167.0,7.9,18.0
773,20210414,29주차,179.0,4.8,16.6
774,20210414,29주차,188.0,5.6,16.5
775,20210414,29주차,158.0,3.5,17.25
776,20210421,30주차,230.0,6.3,18.6
777,20210421,30주차,221.0,4.0,17.25
778,20210421,30주차,207.0,7.4,17.0
780,20210429,31주차,232.0,5.6,19.4
782,20210429,31주차,180.0,6.1,18.0
784,20210603,36주차,40.0,7.3,21.0
785,20210603,36주차,77.0,5.0,21.2
786,20210603,36주차,127.0,6.9,19.0
787,20210603,36주차,56.0,6.2,20.0
788,20210623,39주차,0.0,9.1,21.0
791,20210623,39주차,0.0,6.7,20.0
792,20181007,8주차,2210.0,14.1,4.6
796,20181019,9주차,270.0,14.5,4.67
797,20181019,9주차,430.0,12.7,4.75
798,20181019,9주차,250.0,11.1,4.5
799,20181019,9주차,350.0,12.3,4.5
800,20181024,10주차,160.0,9.6,5.75
801,20181024,10주차,180.0,15.2,4.0
802,20181024,10주차,190.0,11.9,5.0
803,20181024,10주차,180.0,8.8,6.0
804,20181101,11주차,250.0,12.5,5.5
806,20181101,11주차,340.0,10.5,5.5
807,20181101,11주차,280.0,9.7,6.71
808,20181108,12주차,220.0,9.1,6.5
810,20181108,12주차,220.0,6.9,6.6
813,20181113,13주차,110.0,7.8,7.0
814,20181113,13주차,200.0,8.2,6.83
816,20181121,14주차,210.0,10.9,7.67
817,20181121,14주차,230.0,9.7,6.4
818,20181121,14주차,260.0,8.6,7.6
820,20181128,15주차,220.0,6.4,8.67
821,20181128,15주차,200.0,7.8,8.0
822,20181128,15주차,200.0,10.2,7.43
823,20181128,15주차,230.0,7.2,9.75
824,20181204,16주차,120.0,7.6,8.5
825,20181204,16주차,160.0,8.3,8.0
827,20181204,16주차,70.0,4.7,9.0
828,20181211,17주차,200.0,8.2,8.67
830,20181211,17주차,260.0,8.3,8.0
832,20181217,18주차,160.0,8.3,10.0
833,20181217,18주차,160.0,8.7,8.6
834,20181217,18주차,200.0,8.1,9.6
835,20181217,18주차,130.0,5.5,8.25
837,20181228,19주차,260.0,7.2,9.0
838,20181228,19주차,400.0,8.0,10.28
839,20181228,19주차,200.0,6.3,8.0
840,20190103,20주차,160.0,9.2,10.75
843,20190103,20주차,140.0,6.6,9.33
844,20190110,21주차,180.0,9.2,10.75
845,20190110,21주차,130.0,10.6,9.57
